time,age,age_interval,mortality_rate
1995-2000,65,5,0.04724
1995-2000,70,5,0.07653
1995-2000,75,5,0.12545
1995-2000,80,5,0.20133
1995-2000,85,15,0.33139
2000-2005,0,1,0.06816
2000-2005,1,4,0.01311
2000-2005,5,5,0.00355
2000-2005,10,5,0.00216
2000-2005,15,5,0.00324
2000-2005,20,5,0.00494
2000-2005,25,5,0.00493
2000-2005,30,5,0.00547
2000-2005,35,5,0.00625
2000-2005,40,5,0.00797
2000-2005,45,5,0.01019
2000-2005,50,5,0.01411
2000-2005,55,5,0.01994
2000-2005,60,5,0.03006
2000-2005,65,5,0.04554
2000-2005,70,5,0.07406
2000-2005,75,5,0.12207
2000-2005,80,5,0.19690
2000-2005,85,15,0.32676
2005-2010,0,1,0.06001
2005-2010,1,4,0.00976
2005-2010,5,5,0.00324
2005-2010,10,5,0.00204
2005-2010,15,5,0.00304
2005-2010,20,5,0.00464
2005-2010,25,5,0.00463
2005-2010,30,5,0.00518
2005-2010,35,5,0.00593
2005-2010,40,5,0.00762
2005-2010,45,5,0.00980
2005-2010,50,5,0.01365
2005-2010,55,5,0.01937
2005-2010,60,5,0.02924
2005-2010,65,5,0.04438
2005-2010,70,5,0.07238
2005-2010,75,5,0.11977
2005-2010,80,5,0.19390
2005-2010,85,15,0.32368
2010-2015,0,1,0.05710
2010-2015,1,4,0.00690
2010-2015,5,5,0.00294
2010-2015,10,5,0.00190
2010-2015,15,5,0.00283
2010-2015,20,5,0.00431
2010-2015,25,5,0.00431
2010-2015,30,5,0.00486
2010-2015,35,5,0.00559
2010-2015,40,5,0.00722
2010-2015,45,5,0.00937
2010-2015,50,5,0.01315
2010-2015,55,5,0.01874
2010-2015,60,5,0.02832
2010-2015,65,5,0.04307
2010-2015,70,5,0.07048
2010-2015,75,5,0.11718
2010-2015,80,5,0.19053
2010-2015,85,15,0.32020
