,,,,,,"Age-specific fertility rates (births per 1,000 women)",,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Period,15-19,20-24,25-29,30-34,35-39,40-44,45-49
53,Medium variant,Least developed countries,c,941,2020-2025,83.5635,185.9848,193.1491,143.7757,92.9327,39.3089,12.8077
54,Medium variant,Least developed countries,c,941,2025-2030,76.3482,175.2479,186.4041,136.8566,87.2122,34.9235,11.1745
55,Medium variant,Least developed countries,c,941,2030-2035,69.4674,165.1066,181.0955,131.6146,82.5129,31.6075,9.8660
56,Medium variant,Least developed countries,c,941,2035-2040,63.1580,155.2176,176.2576,127.8101,78.8194,28.7711,8.8183
57,Medium variant,Least developed countries,c,941,2040-2045,57.5290,145.9857,171.2235,124.6373,76.0650,26.4552,7.9241
58,Medium variant,Least developed countries,c,941,2045-2050,52.4122,137.4795,166.3016,121.5337,73.6220,24.6080,7.1036
59,Medium variant,Least developed countries,c,941,2050-2055,47.7685,129.6934,161.9338,118.9469,71.1586,23.0051,6.3562
60,Medium variant,Least developed countries,c,941,2055-2060,43.5204,122.4879,157.9619,117.0129,68.9460,21.4641,5.6885
61,Medium variant,Least developed countries,c,941,2060-2065,39.6590,115.8899,154.4251,115.6578,67.2010,20.0838,5.0695
62,Medium variant,Least developed countries,c,941,2065-2070,36.1110,109.7138,151.0905,114.6835,65.7006,18.9004,4.4994
63,Medium variant,Least developed countries,c,941,2070-2075,32.8665,103.9275,147.9305,114.0501,64.3608,17.8490,3.9843
64,Medium variant,Least developed countries,c,941,2075-2080,29.8826,98.4699,144.9416,113.7520,63.1428,16.9023,3.5192
65,Medium variant,Least developed countries,c,941,2080-2085,27.1363,93.2812,142.0760,113.7706,62.0661,16.0286,3.0968
66,Medium variant,Least developed countries,c,941,2085-2090,24.6150,88.3408,139.3025,114.0569,61.1380,15.2303,2.7185
67,Medium variant,Least developed countries,c,941,2090-2095,22.3127,83.6425,136.6149,114.5819,60.3644,14.5073,2.3743
68,Medium variant,Least developed countries,c,941,2095-2100,20.2074,79.1231,133.9678,115.2930,59.7119,13.8524,2.0745
69,Medium variant,"Less developed regions, excluding least developed countries",d,934,2015-2020,36.4026,143.5032,139.0040,84.6943,42.0009,14.3330,3.2477
70,Medium variant,"Less developed regions, excluding least developed countries",d,934,2020-2025,32.9755,135.5105,136.5722,88.0009,42.8487,14.4608,3.1235
71,Medium variant,"Less developed regions, excluding least developed countries",d,934,2025-2030,30.3831,127.9397,134.4267,90.5349,43.8467,14.2856,2.9481
72,Medium variant,"Less developed regions, excluding least developed countries",d,934,2030-2035,28.3302,119.9285,132.0190,92.2543,45.1599,14.2504,2.6479
73,Medium variant,"Less developed regions, excluding least developed countries",d,934,2035-2040,26.6337,112.9694,129.4334,94.1854,46.0478,14.0057,2.4775
74,Medium variant,"Less developed regions, excluding least developed countries",d,934,2040-2045,25.2114,107.3831,127.1203,96.5341,47.1320,13.7657,2.4472
75,Medium variant,"Less developed regions, excluding least developed countries",d,934,2045-2050,23.9044,102.4651,125.4289,98.6153,48.5512,13.6447,2.3910
