,,,,,,"Age-specific fertility rates (births per 1,000 women)",,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Period,15-19,20-24,25-29,30-34,35-39,40-44,45-49
721,Medium variant,Gabon,,266,2045-2050,41.5180,85.3260,135.6740,109.9720,94.4480,42.7220,2.5200
722,Medium variant,Gabon,,266,2050-2055,36.6380,79.4510,132.1970,107.1660,92.3830,40.7860,2.1790
723,Medium variant,Gabon,,266,2055-2060,32.4130,74.3020,129.1330,105.0820,90.3300,38.7840,1.9160
724,Medium variant,Gabon,,266,2060-2065,28.7630,69.7770,126.4050,103.6020,88.2560,36.7430,1.6940
725,Medium variant,Gabon,,266,2065-2070,25.5980,65.7310,123.8010,102.5010,86.0640,34.6450,1.5000
726,Medium variant,Gabon,,266,2070-2075,22.8330,62.1910,121.5210,101.9070,83.8990,32.5590,1.3300
727,Medium variant,Gabon,,266,2075-2080,20.4300,59.0330,119.3550,101.6350,81.6680,30.4520,1.1870
728,Medium variant,Gabon,,266,2080-2085,18.3750,56.3520,117.6560,101.9550,79.6060,28.4750,1.0610
729,Medium variant,Gabon,,266,2085-2090,16.6100,54.0910,116.3160,102.7910,77.6650,26.5750,0.9720
730,Medium variant,Gabon,,266,2090-2095,15.1030,52.1830,115.2970,104.0270,75.8150,24.7700,0.8850
731,Medium variant,Gabon,,266,2095-2100,13.9420,50.7180,114.4710,105.1350,74.2600,23.2430,0.8110
732,Medium variant,Sao Tome and Principe,,678,2015-2020,94.8380,217.8090,200.5070,162.4850,123.0500,66.7050,6.7060
733,Medium variant,Sao Tome and Principe,,678,2020-2025,87.9420,203.6400,182.5470,150.7210,115.8780,68.2520,6.6800
734,Medium variant,Sao Tome and Principe,,678,2025-2030,81.3620,190.4300,167.1140,140.5680,109.4130,69.2260,6.6070
735,Medium variant,Sao Tome and Principe,,678,2030-2035,75.1960,178.3460,153.9950,131.9610,103.6390,69.7070,6.4960
736,Medium variant,Sao Tome and Principe,,678,2035-2040,69.5180,167.3850,143.0520,124.8290,98.6200,69.7500,6.3460
737,Medium variant,Sao Tome and Principe,,678,2040-2045,64.2410,157.4900,133.9210,119.0350,94.2410,69.3640,6.1680
738,Medium variant,Sao Tome and Principe,,678,2045-2050,59.3440,148.4360,126.3490,114.3150,90.4290,68.5510,5.9560
739,Medium variant,Sao Tome and Principe,,678,2050-2055,54.8520,140.3270,120.2320,110.7550,87.2160,67.4390,5.7190
740,Medium variant,Sao Tome and Principe,,678,2055-2060,50.6140,132.6940,115.0870,107.8620,84.3110,65.8050,5.4270
741,Medium variant,Sao Tome and Principe,,678,2060-2065,46.6620,125.7080,111.0230,105.8700,81.8370,63.8530,5.1470
742,Medium variant,Sao Tome and Principe,,678,2065-2070,42.9980,119.2320,107.8180,104.5850,79.6800,61.5510,4.8160
743,Medium variant,Sao Tome and Principe,,678,2070-2075,39.5390,113.1050,105.3560,103.8870,77.8060,58.9240,4.5030
744,Medium variant,Sao Tome and Principe,,678,2075-2080,36.2310,107.1140,103.3400,103.5540,75.9640,55.9100,4.1670
745,Medium variant,Sao Tome and Principe,,678,2080-2085,33.1540,101.4950,101.9750,103.8050,74.3780,52.7150,3.8180
746,Medium variant,Sao Tome and Principe,,678,2085-2090,30.1700,95.8420,100.8260,104.2000,72.7280,49.1760,3.4780
747,Medium variant,Sao Tome and Principe,,678,2090-2095,27.4010,90.4640,100.1640,105.0060,71.2270,45.5530,3.1450
748,Medium variant,Sao Tome and Principe,,678,2095-2100,24.8120,85.2530,99.8140,106.1010,69.7380,41.8430,2.8190
749,Medium variant,Northern Africa,,912,2015-2020,41.6369,148.4714,164.1329,132.9422,91.1770,32.5895,7.2631
750,Medium variant,Northern Africa,,912,2020-2025,36.6618,143.0049,156.0908,126.0471,86.8616,29.4070,6.1430
751,Medium variant,Northern Africa,,912,2025-2030,32.2604,135.9613,150.0315,122.4786,84.6337,26.5961,5.2359
752,Medium variant,Northern Africa,,912,2030-2035,29.0545,129.7271,143.1258,119.6158,84.0116,24.7112,4.5248
753,Medium variant,Northern Africa,,912,2035-2040,26.3792,124.6465,136.3335,116.2897,82.9229,23.5212,3.9820
754,Medium variant,Northern Africa,,912,2040-2045,24.0606,118.7894,131.5001,112.5700,81.4138,22.0903,3.5508
755,Medium variant,Northern Africa,,912,2045-2050,22.0561,113.4588,128.5799,110.5391,78.8788,20.6553,3.1498
756,Medium variant,Northern Africa,,912,2050-2055,20.2226,108.7342,126.2546,110.3914,77.0250,18.9803,2.7645
757,Medium variant,Northern Africa,,912,2055-2060,18.4472,103.9990,123.8705,110.5066,76.7704,17.6752,2.4423
758,Medium variant,Northern Africa,,912,2060-2065,16.8281,98.9158,121.5463,110.5905,76.5840,17.0272,2.1889
759,Medium variant,Northern Africa,,912,2065-2070,15.4256,93.5134,119.3891,110.4299,75.8213,16.4127,1.9731
760,Medium variant,Northern Africa,,912,2070-2075,14.2487,88.4740,117.6858,110.5360,74.6047,15.6950,1.7755
761,Medium variant,Northern Africa,,912,2075-2080,13.2427,83.9897,116.4572,111.1046,73.5775,14.9458,1.6056
762,Medium variant,Northern Africa,,912,2080-2085,12.3389,79.9463,115.5985,112.0313,72.9407,14.3667,1.4605
763,Medium variant,Northern Africa,,912,2085-2090,11.5216,76.0622,114.8654,113.0904,72.4210,13.9555,1.3323
764,Medium variant,Northern Africa,,912,2090-2095,10.7835,72.2163,114.0621,114.0402,71.7142,13.5992,1.2092
765,Medium variant,Northern Africa,,912,2095-2100,10.1433,68.5476,113.4060,115.0537,70.9197,13.2679,1.1031
766,Medium variant,Algeria,,12,2015-2020,10.1380,84.1240,135.4190,131.3280,117.5330,46.1290,5.2890
767,Medium variant,Algeria,,12,2020-2025,9.2070,78.0790,124.1580,119.9860,111.6010,41.3890,4.0000
768,Medium variant,Algeria,,12,2025-2030,8.5240,73.5090,116.2470,112.2740,107.0900,37.5230,3.0930
769,Medium variant,Algeria,,12,2030-2035,8.0110,69.7980,110.5030,106.9640,103.2660,34.1810,2.4370
770,Medium variant,Algeria,,12,2035-2040,7.6370,66.8630,106.6180,103.7020,100.1310,31.3320,1.9570
771,Medium variant,Algeria,,12,2040-2045,7.3760,64.3980,103.9340,101.7940,97.3400,28.8570,1.6010
772,Medium variant,Algeria,,12,2045-2050,7.1740,62.3790,102.2210,100.9310,94.9050,26.7410,1.3290
773,Medium variant,Algeria,,12,2050-2055,7.0560,60.6970,101.2150,100.8030,92.7360,24.9110,1.1420
774,Medium variant,Algeria,,12,2055-2060,6.9550,59.2750,100.6830,101.1380,90.7740,23.3550,1.0000
775,Medium variant,Algeria,,12,2060-2065,6.9050,58.1070,100.5440,101.8460,89.0450,22.0410,0.8920
776,Medium variant,Algeria,,12,2065-2070,6.8680,57.1360,100.6780,102.7850,87.5080,20.9310,0.8140
777,Medium variant,Algeria,,12,2070-2075,6.8620,56.3080,100.9530,103.8130,86.1030,19.9880,0.7530
778,Medium variant,Algeria,,12,2075-2080,6.8530,55.5900,101.2780,104.8310,84.8090,19.1900,0.7090
779,Medium variant,Algeria,,12,2080-2085,6.8600,54.9880,101.6630,105.8350,83.6560,18.5210,0.6770
780,Medium variant,Algeria,,12,2085-2090,6.8700,54.4840,102.1080,106.8500,82.6360,17.9460,0.6460
781,Medium variant,Algeria,,12,2090-2095,6.8880,54.0840,102.6220,107.8650,81.7360,17.4740,0.6310
782,Medium variant,Algeria,,12,2095-2100,6.9090,53.7090,103.0760,108.7740,80.8730,17.0560,0.6230
783,Medium variant,Egypt,,818,2015-2020,50.0420,202.4290,178.2460,120.2930,62.1490,13.8930,3.8480
784,Medium variant,Egypt,,818,2020-2025,45.9260,196.7610,164.2980,111.9490,57.9650,11.8330,3.7680
785,Medium variant,Egypt,,818,2025-2030,42.3020,191.2670,153.1050,105.6010,54.7110,10.3000,3.6740
786,Medium variant,Egypt,,818,2030-2035,39.0260,185.5760,143.9060,100.7360,52.1810,9.1110,3.5840
787,Medium variant,Egypt,,818,2035-2040,36.0650,179.7300,136.4200,97.1760,50.2320,8.2010,3.4560
788,Medium variant,Egypt,,818,2040-2045,33.2760,173.2900,130.0180,94.4890,48.7000,7.4960,3.3110
789,Medium variant,Egypt,,818,2045-2050,30.7090,166.5660,124.7180,92.7000,47.5730,6.9680,3.1460
790,Medium variant,Egypt,,818,2050-2055,28.3090,159.3280,120.1720,91.5180,46.7040,6.5700,2.9790
791,Medium variant,Egypt,,818,2055-2060,26.0190,151.5050,116.0670,90.7190,46.0150,6.2560,2.7990
792,Medium variant,Egypt,,818,2060-2065,23.9730,143.9620,112.9390,90.7250,45.6880,6.0620,2.6110
793,Medium variant,Egypt,,818,2065-2070,22.1030,136.4500,110.4610,91.2160,45.6060,5.9440,2.4400
794,Medium variant,Egypt,,818,2070-2075,20.4160,129.1070,108.5980,92.2240,45.7600,5.9110,2.2640
795,Medium variant,Egypt,,818,2075-2080,18.8910,121.9840,107.2960,93.6840,46.1300,5.9400,2.0950
796,Medium variant,Egypt,,818,2080-2085,17.5260,115.1160,106.5370,95.6090,46.7040,6.0360,1.9320
797,Medium variant,Egypt,,818,2085-2090,16.2830,108.4300,106.1380,97.8150,47.4290,6.1830,1.7820
798,Medium variant,Egypt,,818,2090-2095,15.1530,101.9690,106.1060,100.3440,48.2960,6.3790,1.6330
799,Medium variant,Egypt,,818,2095-2100,14.1210,95.6850,106.2700,103.0290,49.2340,6.6100,1.4910
800,Medium variant,Libya,,434,2015-2020,5.6610,41.7610,101.8200,127.6540,108.0330,47.3780,9.2730
801,Medium variant,Libya,,434,2020-2025,5.4390,39.3100,95.9560,120.0220,99.9010,42.9330,8.1390
802,Medium variant,Libya,,434,2025-2030,5.3370,37.6950,92.1930,114.8580,93.0760,38.7570,7.0440
803,Medium variant,Libya,,434,2030-2035,5.3300,36.7770,90.1590,111.7190,87.4250,35.0180,6.0720
804,Medium variant,Libya,,434,2035-2040,5.3870,36.3860,89.4380,110.1870,83.0350,31.8810,5.2460
805,Medium variant,Libya,,434,2040-2045,5.4890,36.4010,89.7100,109.9150,79.8400,29.3460,4.5790
806,Medium variant,Libya,,434,2045-2050,5.6100,36.6560,90.5300,110.3690,77.4690,27.2800,4.0260
807,Medium variant,Libya,,434,2050-2055,5.7420,37.0590,91.6980,111.3030,75.7490,25.6170,3.5920
808,Medium variant,Libya,,434,2055-2060,5.8700,37.5040,92.9480,112.3900,74.4170,24.2640,3.2470
809,Medium variant,Libya,,434,2060-2065,5.9910,37.9910,94.2790,113.6350,73.5100,23.2120,2.9820
810,Medium variant,Libya,,434,2065-2070,6.0940,38.4320,95.4740,114.7650,72.7790,22.3640,2.7720
811,Medium variant,Libya,,434,2070-2075,6.1860,38.8230,96.5430,115.7900,72.2210,21.6890,2.6080
812,Medium variant,Libya,,434,2075-2080,6.2680,39.1720,97.4920,116.7110,71.8240,21.1540,2.4790
813,Medium variant,Libya,,434,2080-2085,6.3340,39.4990,98.3500,117.5730,71.5600,20.7340,2.3700
814,Medium variant,Libya,,434,2085-2090,6.3890,39.7490,99.0190,118.2250,71.2940,20.3640,2.2800
815,Medium variant,Libya,,434,2090-2095,6.4430,40.0130,99.7170,118.9440,71.1650,20.0730,2.2050
816,Medium variant,Libya,,434,2095-2100,6.4850,40.2290,100.2910,119.5200,71.0240,19.8080,2.1430
817,Medium variant,Morocco,,504,2015-2020,31.0950,93.9640,116.9160,112.1350,80.1920,38.2910,12.3470
818,Medium variant,Morocco,,504,2020-2025,28.4170,88.3610,110.8550,106.7270,75.6520,35.5220,11.1060
819,Medium variant,Morocco,,504,2025-2030,25.9810,83.4220,106.4620,103.1600,72.0430,32.9130,9.8390
820,Medium variant,Morocco,,504,2030-2035,23.7290,78.9380,103.3440,101.0530,69.1060,30.4350,8.6150
821,Medium variant,Morocco,,504,2035-2040,21.6730,74.8710,101.2130,100.0690,66.7230,28.1360,7.4950
822,Medium variant,Morocco,,504,2040-2045,19.8400,71.2540,99.8720,99.9420,64.8040,26.0490,6.4990
823,Medium variant,Morocco,,504,2045-2050,18.2140,68.0310,99.1180,100.4090,63.2730,24.1690,5.6260
824,Medium variant,Morocco,,504,2050-2055,16.8120,65.2810,99.0160,101.5330,62.1510,22.5100,4.8570
825,Medium variant,Morocco,,504,2055-2060,15.6000,62.9190,99.3840,103.1200,61.3670,21.0570,4.2130
826,Medium variant,Morocco,,504,2060-2065,14.5230,60.8060,99.9930,104.9250,60.7840,19.7480,3.6410
827,Medium variant,Morocco,,504,2065-2070,13.5700,58.9070,100.7840,106.8500,60.3260,18.5690,3.1540
828,Medium variant,Morocco,,504,2070-2075,12.7180,57.2140,101.7500,108.9640,60.0250,17.5010,2.7280
829,Medium variant,Morocco,,504,2075-2080,11.9700,55.6720,102.8640,111.1980,59.8380,16.5330,2.3650
830,Medium variant,Morocco,,504,2080-2085,11.2850,54.2030,103.9240,113.3180,59.6480,15.6500,2.0520
831,Medium variant,Morocco,,504,2085-2090,10.6740,52.8540,105.0080,115.4520,59.5080,14.8410,1.7830
832,Medium variant,Morocco,,504,2090-2095,10.1210,51.5910,106.0450,117.5000,59.3840,14.1100,1.5490
833,Medium variant,Morocco,,504,2095-2100,9.6360,50.4360,107.0840,119.5020,59.2920,13.4500,1.3600
834,Medium variant,Sudan,,729,2015-2020,63.9930,168.9010,227.9450,200.8570,148.6610,61.1990,15.3440
835,Medium variant,Sudan,,729,2020-2025,51.4140,149.8560,217.3380,193.4260,148.7610,57.1100,11.2350
836,Medium variant,Sudan,,729,2025-2030,41.6070,133.3330,207.0320,186.0880,147.8780,53.1440,8.3180
837,Medium variant,Sudan,,729,2030-2035,33.9480,119.0390,197.1130,178.9050,146.1180,49.3370,6.2400
838,Medium variant,Sudan,,729,2035-2040,27.9840,106.8300,187.8870,172.2400,143.7950,45.8230,4.7210
839,Medium variant,Sudan,,729,2040-2045,23.3660,96.5540,179.6540,166.3770,141.1750,42.6210,3.6530
840,Medium variant,Sudan,,729,2045-2050,19.7420,87.9130,172.3790,161.2490,138.3400,39.6950,2.8620
841,Medium variant,Sudan,,729,2050-2055,16.8580,80.5310,165.7330,156.6040,135.2010,37.0090,2.2640
842,Medium variant,Sudan,,729,2055-2060,14.6090,74.2400,159.7020,152.4640,131.7310,34.5210,1.8330
843,Medium variant,Sudan,,729,2060-2065,12.8030,68.9720,154.4560,148.9680,128.1660,32.2700,1.5050
844,Medium variant,Sudan,,729,2065-2070,11.3430,64.4000,149.5890,145.7650,124.3230,30.1560,1.2640
845,Medium variant,Sudan,,729,2070-2075,10.1600,60.4850,145.0760,142.8140,120.2280,28.1900,1.0670
846,Medium variant,Sudan,,729,2075-2080,9.2300,57.1140,140.9350,140.1600,115.9650,26.3680,0.9080
847,Medium variant,Sudan,,729,2080-2085,8.4600,54.2760,137.2380,137.8510,111.6910,24.7110,0.7930
848,Medium variant,Sudan,,729,2085-2090,7.8640,51.8720,133.8780,135.8030,107.4150,23.1740,0.7140
849,Medium variant,Sudan,,729,2090-2095,7.3680,49.6850,130.3480,133.4980,102.7940,21.6850,0.6420
850,Medium variant,Sudan,,729,2095-2100,6.9850,47.9100,127.3760,131.6700,98.4580,20.3670,0.5940
851,Medium variant,Tunisia,,788,2015-2020,7.6530,57.0260,129.3740,121.8720,87.9630,23.3450,2.2070
852,Medium variant,Tunisia,,788,2020-2025,7.7440,54.8460,126.1320,113.9260,85.6150,21.8670,2.2100
853,Medium variant,Tunisia,,788,2025-2030,7.8310,53.0750,123.7070,108.4210,83.4200,20.4950,2.1710
854,Medium variant,Tunisia,,788,2030-2035,7.9320,51.6090,121.8280,104.7460,81.3590,19.2470,2.1190
855,Medium variant,Tunisia,,788,2035-2040,8.0240,50.4790,120.5180,102.5520,79.5860,18.1570,2.0440
856,Medium variant,Tunisia,,788,2040-2045,8.1260,49.6570,119.7290,101.5150,78.1350,17.2490,1.9690
857,Medium variant,Tunisia,,788,2045-2050,8.2070,49.0040,119.1280,101.1750,76.8230,16.4770,1.8860
858,Medium variant,Tunisia,,788,2050-2055,8.2710,48.4850,118.6780,101.2740,75.6800,15.8420,1.8100
859,Medium variant,Tunisia,,788,2055-2060,8.3160,48.1220,118.4370,101.7560,74.7540,15.3280,1.7470
860,Medium variant,Tunisia,,788,2060-2065,8.3620,47.8550,118.3090,102.4450,73.9810,14.9080,1.6800
861,Medium variant,Tunisia,,788,2065-2070,8.3960,47.6950,118.3170,103.2680,73.3830,14.5780,1.6230
862,Medium variant,Tunisia,,788,2070-2075,8.4240,47.5350,118.2410,104.0340,72.7920,14.2870,1.5670
863,Medium variant,Tunisia,,788,2075-2080,8.4340,47.3890,118.1310,104.7480,72.2510,14.0500,1.5170
864,Medium variant,Tunisia,,788,2080-2085,8.4410,47.3080,118.1080,105.5200,71.8180,13.8520,1.4730
865,Medium variant,Tunisia,,788,2085-2090,8.4410,47.2250,118.0690,106.2350,71.4150,13.6890,1.4260
866,Medium variant,Tunisia,,788,2090-2095,8.4430,47.1950,118.1010,106.9550,71.1000,13.5600,1.3860
867,Medium variant,Tunisia,,788,2095-2100,8.4450,47.1940,118.1850,107.6980,70.8440,13.4500,1.3440
868,Medium variant,Western Sahara,,732,2015-2020,23.2700,83.0390,119.1850,116.1030,86.6320,41.2710,13.4800
869,Medium variant,Western Sahara,,732,2020-2025,19.9410,75.6910,112.7140,111.1440,82.6850,38.2980,11.9070
870,Medium variant,Western Sahara,,732,2025-2030,17.2400,69.5610,107.7970,107.7150,79.2780,35.3590,10.3100
871,Medium variant,Western Sahara,,732,2030-2035,15.0450,64.3270,104.0540,105.4760,76.1940,32.4850,8.8190
872,Medium variant,Western Sahara,,732,2035-2040,13.2560,59.8580,101.2440,104.1360,73.3820,29.7420,7.4820
873,Medium variant,Western Sahara,,732,2040-2045,11.8580,56.2980,99.4880,103.7760,71.1130,27.3290,6.3580
874,Medium variant,Western Sahara,,732,2045-2050,10.7630,53.4360,98.3770,103.9410,69.2030,25.2090,5.4110
875,Medium variant,Western Sahara,,732,2050-2055,9.9530,51.3140,97.9880,104.6930,67.8080,23.4550,4.6490
876,Medium variant,Western Sahara,,732,2055-2060,9.3380,49.6640,97.9110,105.5980,66.6590,21.9750,4.0350
877,Medium variant,Western Sahara,,732,2060-2065,8.8990,48.5470,98.3030,106.8560,65.9110,20.7940,3.5500
878,Medium variant,Western Sahara,,732,2065-2070,8.5900,47.7580,98.9170,108.2240,65.3840,19.8360,3.1710
879,Medium variant,Western Sahara,,732,2070-2075,8.3660,47.1920,99.5480,109.4820,64.9850,19.0550,2.8720
880,Medium variant,Western Sahara,,732,2075-2080,8.2160,46.8590,100.3110,110.7770,64.7660,18.4380,2.6330
881,Medium variant,Western Sahara,,732,2080-2085,8.1150,46.6270,101.0080,111.9220,64.5950,17.9330,2.4400
882,Medium variant,Western Sahara,,732,2085-2090,8.0490,46.5170,101.7320,113.0290,64.5140,17.5270,2.2920
883,Medium variant,Western Sahara,,732,2090-2095,8.0050,46.4410,102.3480,113.9480,64.4320,17.1800,2.1660
884,Medium variant,Western Sahara,,732,2095-2100,7.9840,46.4440,102.9760,114.8480,64.4220,16.9030,2.0630
885,Medium variant,Southern Africa,,913,2015-2020,46.4769,131.1579,135.4882,96.9217,60.5019,22.5157,5.5972
886,Medium variant,Southern Africa,,913,2020-2025,39.9135,125.1425,131.8986,93.6904,57.2676,20.6081,4.6701
887,Medium variant,Southern Africa,,913,2025-2030,34.6065,119.0528,128.8788,91.7103,54.8315,18.9096,3.9021
888,Medium variant,Southern Africa,,913,2030-2035,30.2458,112.8253,126.1754,90.6447,52.9190,17.4074,3.2442
889,Medium variant,Southern Africa,,913,2035-2040,26.5894,106.6544,123.7805,90.4277,51.4594,16.1278,2.7004
890,Medium variant,Southern Africa,,913,2040-2045,23.5165,100.7310,121.7260,90.9542,50.4316,15.0262,2.2668
891,Medium variant,Southern Africa,,913,2045-2050,20.9296,95.0664,119.8884,91.8905,49.7106,14.0645,1.9117
892,Medium variant,Southern Africa,,913,2050-2055,18.7854,89.9002,118.4637,93.2925,49.3270,13.3032,1.6416
893,Medium variant,Southern Africa,,913,2055-2060,16.9877,85.1197,117.3175,95.0287,49.1712,12.6710,1.4110
894,Medium variant,Southern Africa,,913,2060-2065,15.4796,80.8150,116.5279,97.1075,49.2990,12.1480,1.2312
895,Medium variant,Southern Africa,,913,2065-2070,14.1951,76.8497,115.9294,99.4092,49.5939,11.7142,1.0865
896,Medium variant,Southern Africa,,913,2070-2075,13.0901,73.1330,115.3790,101.7456,49.9818,11.3492,0.9691
897,Medium variant,Southern Africa,,913,2075-2080,12.1463,69.7764,115.0750,104.2912,50.5285,11.0698,0.8694
898,Medium variant,Southern Africa,,913,2080-2085,11.3298,66.6122,114.7472,106.8126,51.1247,10.8328,0.7919
899,Medium variant,Southern Africa,,913,2085-2090,10.6291,63.6753,114.4803,109.3690,51.7911,10.6389,0.7197
900,Medium variant,Southern Africa,,913,2090-2095,10.0323,60.9661,114.2545,111.9400,52.5166,10.4906,0.6703
901,Medium variant,Southern Africa,,913,2095-2100,9.5159,58.4604,114.0443,114.4951,53.2799,10.3696,0.6313
902,Medium variant,Botswana,,72,2015-2020,29.9820,127.4570,129.5670,109.0930,81.7850,40.3640,12.0320
903,Medium variant,Botswana,,72,2020-2025,23.7250,119.0670,124.6440,104.0940,75.8550,36.6280,10.3270
904,Medium variant,Botswana,,72,2025-2030,19.1590,111.5380,120.9260,100.7370,71.1930,33.3400,8.8070
905,Medium variant,Botswana,,72,2030-2035,15.7300,104.3140,117.7360,98.4230,67.2620,30.3220,7.4530
906,Medium variant,Botswana,,72,2035-2040,13.1390,97.4180,114.9910,96.9640,63.9540,27.5590,6.2750
907,Medium variant,Botswana,,72,2040-2045,11.1970,91.1960,112.9410,96.5040,61.3640,25.1500,5.2880
908,Medium variant,Botswana,,72,2045-2050,9.7320,85.5310,111.3390,96.6870,59.3070,23.0250,4.4590
909,Medium variant,Botswana,,72,2050-2055,8.6350,80.5000,110.2230,97.4900,57.7590,21.1880,3.7650
910,Medium variant,Botswana,,72,2055-2060,7.8490,76.1200,109.6450,98.8790,56.6970,19.6230,3.2070
911,Medium variant,Botswana,,72,2060-2065,7.2620,72.2250,109.3480,100.5920,55.9750,18.2680,2.7300
912,Medium variant,Botswana,,72,2065-2070,6.8510,68.7910,109.3720,102.6660,55.5640,17.1000,2.3360
913,Medium variant,Botswana,,72,2070-2075,6.5690,65.7600,109.6470,105.0140,55.4170,16.0980,2.0150
914,Medium variant,Botswana,,72,2075-2080,6.3920,63.0720,110.1470,107.6110,55.5030,15.2270,1.7480
915,Medium variant,Botswana,,72,2080-2085,6.2950,60.5530,110.5460,110.1100,55.6300,14.4470,1.5190
916,Medium variant,Botswana,,72,2085-2090,6.2470,58.2430,110.8890,112.5220,55.8110,13.7570,1.3310
917,Medium variant,Botswana,,72,2090-2095,6.2670,56.1380,111.2300,114.9130,56.0660,13.1520,1.1740
918,Medium variant,Botswana,,72,2095-2100,6.3120,54.2540,111.5870,117.2530,56.3710,12.6210,1.0420
919,Medium variant,Lesotho,,426,2015-2020,89.5180,164.3060,134.6200,102.5530,66.6110,40.5520,4.5200
920,Medium variant,Lesotho,,426,2020-2025,87.6560,154.6720,125.5220,95.2520,58.0610,37.3150,3.4220
921,Medium variant,Lesotho,,426,2025-2030,85.1670,146.1820,118.5610,89.9950,51.6560,34.5050,2.6540
922,Medium variant,Lesotho,,426,2030-2035,82.2050,138.7110,113.4510,86.5530,46.9770,32.1190,2.1040
923,Medium variant,Lesotho,,426,2035-2040,78.5640,131.5970,109.5200,84.3380,43.4550,29.9350,1.6910
924,Medium variant,Lesotho,,426,2040-2045,74.5330,124.9330,106.6320,83.2670,40.9260,27.9760,1.3930
925,Medium variant,Lesotho,,426,2045-2050,70.0310,118.3090,104.3220,82.9040,39.0910,26.1410,1.1620
926,Medium variant,Lesotho,,426,2050-2055,65.4070,112.1310,102.7750,83.3420,37.9150,24.4760,0.9740
927,Medium variant,Lesotho,,426,2055-2060,60.7020,106.2770,101.7380,84.3300,37.2270,22.9610,0.8450
928,Medium variant,Lesotho,,426,2060-2065,55.8960,100.5430,100.9290,85.6070,36.8930,21.5520,0.7400
929,Medium variant,Lesotho,,426,2065-2070,51.3330,95.4200,100.7680,87.5040,36.9930,20.3220,0.6600
930,Medium variant,Lesotho,,426,2070-2075,46.9090,90.6000,100.9270,89.7100,37.3980,19.2030,0.5930
931,Medium variant,Lesotho,,426,2075-2080,42.6620,86.0520,101.3350,92.1890,38.0530,18.1830,0.5460
932,Medium variant,Lesotho,,426,2080-2085,38.6730,81.8700,102.1080,95.0490,39.0070,17.2800,0.5130
933,Medium variant,Lesotho,,426,2085-2090,34.8850,77.8810,102.9750,98.0530,40.1440,16.4450,0.4970
934,Medium variant,Lesotho,,426,2090-2095,31.3650,74.1390,104.0300,101.2520,41.4890,15.6770,0.4680
935,Medium variant,Lesotho,,426,2095-2100,28.0720,70.5410,105.0360,104.4100,42.9380,14.9610,0.4620
936,Medium variant,Namibia,,516,2015-2020,73.8100,156.5050,158.5790,139.0630,95.7090,33.0310,5.5030
937,Medium variant,Namibia,,516,2020-2025,68.2380,147.5230,151.1890,131.4560,86.1010,27.1470,3.5060
938,Medium variant,Namibia,,516,2025-2030,63.0370,139.4300,145.0600,125.4640,78.3920,22.6800,2.3170
939,Medium variant,Namibia,,516,2030-2035,58.0850,131.8980,139.8500,120.6960,72.1240,19.2510,1.5760
940,Medium variant,Namibia,,516,2035-2040,53.3790,124.8200,135.4150,116.9360,67.0240,16.5880,1.1180
941,Medium variant,Namibia,,516,2040-2045,48.9350,118.1550,131.6490,114.1040,62.8910,14.5060,0.8200
942,Medium variant,Namibia,,516,2045-2050,44.6650,111.6250,128.1720,111.7980,59.4210,12.8550,0.6240
943,Medium variant,Namibia,,516,2050-2055,40.6190,105.3230,125.0100,110.0250,56.5610,11.5410,0.4810
944,Medium variant,Namibia,,516,2055-2060,36.8610,99.3030,122.1860,108.7430,54.2460,10.4990,0.4020
945,Medium variant,Namibia,,516,2060-2065,33.3940,93.6590,119.7170,107.9120,52.4230,9.6850,0.3300
946,Medium variant,Namibia,,516,2065-2070,30.2310,88.4000,117.6250,107.5430,51.0400,9.0660,0.2950
947,Medium variant,Namibia,,516,2070-2075,27.4050,83.6220,116.0090,107.7280,50.1170,8.6070,0.2720
948,Medium variant,Namibia,,516,2075-2080,24.8930,79.3780,114.9410,108.4620,49.6270,8.3000,0.2590
949,Medium variant,Namibia,,516,2080-2085,22.6040,75.3930,114.0000,109.3610,49.3740,8.0820,0.2460
950,Medium variant,Namibia,,516,2085-2090,20.5630,71.7790,113.4050,110.6150,49.4210,7.9700,0.2470
951,Medium variant,Namibia,,516,2090-2095,18.7430,68.5070,113.1210,112.1910,49.7270,7.9460,0.2450
952,Medium variant,Namibia,,516,2095-2100,17.0920,65.4670,112.9480,113.9000,50.2250,7.9830,0.2650
953,Medium variant,South Africa,,710,2015-2020,42.7800,127.5980,134.1740,94.0870,57.9010,20.9000,5.3400
954,Medium variant,South Africa,,710,2020-2025,35.9750,122.0950,131.0130,91.2070,55.2600,19.1420,4.4680
955,Medium variant,South Africa,,710,2025-2030,30.3990,116.3720,128.3710,89.5800,53.2720,17.6310,3.7350
956,Medium variant,South Africa,,710,2030-2035,25.7840,110.2840,125.9130,88.9180,51.7500,16.2920,3.1190
957,Medium variant,South Africa,,710,2035-2040,22.0230,104.1590,123.7010,89.0730,50.6700,15.1390,2.6150
958,Medium variant,South Africa,,710,2040-2045,18.9900,98.2840,121.7960,89.8970,49.9560,14.1670,2.2100
959,Medium variant,South Africa,,710,2045-2050,16.5380,92.7090,120.0810,91.1150,49.4950,13.3300,1.8720
960,Medium variant,South Africa,,710,2050-2055,14.5860,87.6640,118.7800,92.8090,49.3640,12.6610,1.6160
