time,age,age_interval,survivors
1995-2000,70,5,37506.166
1995-2000,75,5,25425.079
1995-2000,80,5,13353.392
1995-2000,85,15,4679.795
2000-2005,0,1,100000.000
2000-2005,1,4,93524.650
2000-2005,5,5,88777.250
2000-2005,10,5,87215.311
2000-2005,15,5,86277.969
2000-2005,20,5,84890.211
2000-2005,25,5,82818.147
2000-2005,30,5,80799.551
2000-2005,35,5,78619.875
2000-2005,40,5,76200.530
2000-2005,45,5,73220.639
2000-2005,50,5,69578.787
2000-2005,55,5,64829.521
2000-2005,60,5,58658.433
2000-2005,65,5,50432.767
2000-2005,70,5,40082.889
2000-2005,75,5,27518.297
2000-2005,80,5,14709.976
2000-2005,85,15,5278.127
2005-2010,0,1,100000.000
2005-2010,1,4,94271.538
2005-2010,5,5,90680.975
2005-2010,10,5,89221.972
2005-2010,15,5,88318.720
2005-2010,20,5,86984.216
2005-2010,25,5,84990.334
2005-2010,30,5,83043.308
2005-2010,35,5,80920.452
2005-2010,40,5,78553.476
2005-2010,45,5,75616.136
2005-2010,50,5,71995.639
2005-2010,55,5,67235.266
2005-2010,60,5,61009.528
2005-2010,65,5,52672.656
2005-2010,70,5,42111.458
2005-2010,75,5,29162.518
2005-2010,80,5,15777.106
2005-2010,85,15,5751.765
2010-2015,0,1,100000.000
2010-2015,1,4,94540.000
2010-2015,5,5,91975.000
2010-2015,10,5,90634.340
2010-2015,15,5,89779.152
2010-2015,20,5,88517.500
2010-2015,25,5,86631.101
2010-2015,30,5,84784.250
2010-2015,35,5,82747.887
2010-2015,40,5,80465.539
2010-2015,45,5,77608.714
2010-2015,50,5,74052.875
2010-2015,55,5,69333.182
2010-2015,60,5,63114.743
2010-2015,65,5,54744.105
2010-2015,70,5,44058.446
2010-2015,75,5,30808.805
2010-2015,80,5,16894.392
2010-2015,85,15,6270.541
