time,age,age_interval,mortality_rate
1995-2000,65,5,0.03987
1995-2000,70,5,0.06797
1995-2000,75,5,0.11370
1995-2000,80,5,0.18777
1995-2000,85,15,0.30900
2000-2005,0,1,0.05624
2000-2005,1,4,0.01271
2000-2005,5,5,0.00417
2000-2005,10,5,0.00230
2000-2005,15,5,0.00350
2000-2005,20,5,0.00448
2000-2005,25,5,0.00500
2000-2005,30,5,0.00527
2000-2005,35,5,0.00586
2000-2005,40,5,0.00657
2000-2005,45,5,0.00759
2000-2005,50,5,0.01038
2000-2005,55,5,0.01461
2000-2005,60,5,0.02392
2000-2005,65,5,0.03879
2000-2005,70,5,0.06637
2000-2005,75,5,0.11147
2000-2005,80,5,0.18484
2000-2005,85,15,0.30599
2005-2010,0,1,0.04923
2005-2010,1,4,0.00924
2005-2010,5,5,0.00373
2005-2010,10,5,0.00206
2005-2010,15,5,0.00317
2005-2010,20,5,0.00408
2005-2010,25,5,0.00457
2005-2010,30,5,0.00483
2005-2010,35,5,0.00540
2005-2010,40,5,0.00613
2005-2010,45,5,0.00714
2005-2010,50,5,0.00982
2005-2010,55,5,0.01385
2005-2010,60,5,0.02268
2005-2010,65,5,0.03697
2005-2010,70,5,0.06366
2005-2010,75,5,0.10769
2005-2010,80,5,0.17987
2005-2010,85,15,0.30091
2010-2015,0,1,0.04666
2010-2015,1,4,0.00670
2010-2015,5,5,0.00339
2010-2015,10,5,0.00187
2010-2015,15,5,0.00292
2010-2015,20,5,0.00376
2010-2015,25,5,0.00424
2010-2015,30,5,0.00448
2010-2015,35,5,0.00504
2010-2015,40,5,0.00578
2010-2015,45,5,0.00678
2010-2015,50,5,0.00937
2010-2015,55,5,0.01325
2010-2015,60,5,0.02171
2010-2015,65,5,0.03553
2010-2015,70,5,0.06152
2010-2015,75,5,0.10469
2010-2015,80,5,0.17596
2010-2015,85,15,0.29695
