time,age,age_interval,survival_ratio
1995-2000,75,5,0.44773
1995-2000,80,5,0.24687
1995-2000,85,15,…
2000-2005,0,1,0.91407
2000-2005,1,4,0.96269
2000-2005,5,5,0.98580
2000-2005,10,5,0.98713
2000-2005,15,5,0.97964
2000-2005,20,5,0.97529
2000-2005,25,5,0.97449
2000-2005,30,5,0.97135
2000-2005,35,5,0.96539
2000-2005,40,5,0.95599
2000-2005,45,5,0.94177
2000-2005,50,5,0.91945
2000-2005,55,5,0.88428
2000-2005,60,5,0.83051
2000-2005,65,5,0.74651
2000-2005,70,5,0.61848
2000-2005,75,5,0.45655
2000-2005,80,5,0.25217
2000-2005,85,15,…
2005-2010,0,1,0.92700
2005-2010,1,4,0.97035
2005-2010,5,5,0.98687
2005-2010,10,5,0.98789
2005-2010,15,5,0.98087
2005-2010,20,5,0.97679
2005-2010,25,5,0.97592
2005-2010,30,5,0.97280
2005-2010,35,5,0.96700
2005-2010,40,5,0.95777
2005-2010,45,5,0.94375
2005-2010,50,5,0.92178
2005-2010,55,5,0.88732
2005-2010,60,5,0.83461
2005-2010,65,5,0.75179
2005-2010,70,5,0.62465
2005-2010,75,5,0.46263
2005-2010,80,5,0.25579
2005-2010,85,15,…
2010-2015,0,1,0.93469
2010-2015,1,4,0.97684
2010-2015,5,5,0.98798
2010-2015,10,5,0.98873
2010-2015,15,5,0.98222
2010-2015,20,5,0.97842
2010-2015,25,5,0.97749
2010-2015,30,5,0.97440
2010-2015,35,5,0.96878
2010-2015,40,5,0.95974
2010-2015,45,5,0.94596
2010-2015,50,5,0.92439
2010-2015,55,5,0.89072
2010-2015,60,5,0.83922
2010-2015,65,5,0.75777
2010-2015,70,5,0.63167
2010-2015,75,5,0.46959
2010-2015,80,5,0.25992
2010-2015,85,15,…
