,,,,,"Number of births, both sexes combined (thousands)",,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
31,Medium variant,Uganda,,800,9044.427,9993.422,10930.002,11801.755,12590.804,13314.798,13966.988,14554.030,15056.284,15458.713,15767.271,15983.882,16105.246,16144.201,16096.232,15974.623,15778.092
32,Medium variant,United Republic of Tanzania,2,834,10946.984,12075.448,13333.681,14634.272,15866.777,17025.490,18102.996,19150.602,20175.981,21098.226,21946.718,22654.041,23257.722,23770.380,24207.807,24508.366,24655.494
33,Medium variant,Zambia,,894,3278.623,3644.887,4015.607,4372.986,4726.768,5097.830,5480.576,5863.938,6209.011,6540.898,6856.125,7159.686,7444.646,7692.153,7902.200,8076.470,8213.971
34,Medium variant,Zimbabwe,,716,2655.506,2662.243,2715.841,2810.571,2882.861,2909.589,2890.558,2839.670,2789.999,2742.614,2701.319,2651.617,2587.361,2523.057,2458.212,2402.101,2349.578
35,Medium variant,Middle Africa,,911,33217.388,36284.234,39509.241,42626.822,45446.843,47832.632,49882.622,51707.746,53295.906,54728.724,55761.386,56437.401,56846.423,56959.748,56886.772,56640.233,56222.418
36,Medium variant,Angola,,24,6239.793,6968.056,7763.226,8565.659,9345.806,10080.114,10768.344,11428.442,12063.330,12665.732,13213.309,13683.160,14086.613,14436.746,14714.144,14928.328,15062.875
37,Medium variant,Cameroon,,120,4327.199,4584.420,4859.670,5149.266,5427.507,5688.626,5911.239,6098.048,6264.257,6424.856,6571.179,6674.094,6739.745,6771.044,6774.098,6753.069,6710.074
38,Medium variant,Central African Republic,,140,829.176,889.958,955.461,992.560,1000.685,1001.940,1007.830,1017.924,1025.102,1022.637,1012.529,996.878,980.443,966.506,951.815,935.657,914.879
39,Medium variant,Chad,,148,3222.556,3496.571,3748.880,3969.059,4165.327,4331.963,4473.787,4594.413,4699.522,4783.544,4841.797,4871.783,4884.676,4873.029,4839.460,4796.601,4731.462
40,Medium variant,Congo,,178,900.246,972.703,1073.465,1181.879,1273.497,1345.183,1413.361,1487.322,1562.848,1634.214,1689.671,1732.593,1769.583,1800.699,1829.445,1844.446,1851.682
41,Medium variant,Democratic Republic of the Congo,,180,17157.769,18807.451,20518.821,22155.046,23596.597,24724.589,25632.066,26397.329,26993.570,27510.078,27745.481,27793.714,27704.920,27438.732,27114.495,26729.494,26309.578
42,Medium variant,Equatorial Guinea,,226,215.269,237.678,256.263,269.575,280.681,291.735,300.201,306.770,311.489,313.675,314.413,313.163,311.565,308.955,305.597,301.552,296.912
43,Medium variant,Gabon,,266,291.164,291.359,295.266,303.671,315.137,325.612,331.933,332.811,330.451,328.050,326.594,325.348,322.261,317.592,311.693,305.556,300.046
44,Medium variant,Sao Tome and Principe,,678,34.216,36.038,38.189,40.107,41.606,42.870,43.861,44.687,45.337,45.938,46.413,46.668,46.617,46.445,46.025,45.530,44.910
45,Medium variant,Northern Africa,,912,28579.199,27938.349,27800.076,28563.919,29676.198,30291.070,30383.087,30104.764,29818.276,29757.328,29736.381,29616.961,29330.680,28929.809,28484.418,28025.918,27608.752
46,Medium variant,Algeria,,12,4500.012,4100.752,3749.736,3622.673,3723.601,3901.974,3968.102,3819.219,3576.672,3415.454,3377.425,3408.840,3421.528,3362.910,3246.784,3131.761,3061.191
47,Medium variant,Egypt,,818,12306.200,11877.880,11860.748,12469.798,13164.946,13309.848,13124.402,12864.813,12724.007,12716.011,12640.199,12436.269,12137.730,11842.779,11593.356,11386.182,11173.979
48,Medium variant,Libya,,434,604.725,562.022,524.014,503.762,501.246,502.987,494.017,472.734,448.100,430.438,421.502,417.426,411.895,401.564,387.523,374.809,365.529
49,Medium variant,Morocco,,504,3445.195,3274.027,3111.850,3001.331,2942.830,2898.991,2826.937,2718.409,2598.498,2495.011,2418.151,2358.695,2299.252,2227.358,2149.911,2076.825,2016.683
50,Medium variant,Sudan,,729,6651.506,7129.125,7644.441,8103.714,8471.444,8774.324,9059.528,9349.867,9639.835,9904.836,10094.832,10209.004,10274.750,10324.583,10361.817,10335.538,10285.361
51,Medium variant,Tunisia,,788,1014.536,935.926,849.903,802.616,811.083,840.366,846.127,814.810,765.947,730.132,718.498,720.522,718.825,703.653,678.031,654.002,639.408
52,Medium variant,Western Sahara,,732,57.025,58.617,59.384,60.025,61.048,62.580,63.974,64.912,65.217,65.446,65.774,66.205,66.700,66.962,66.996,66.801,66.601
53,Medium variant,Southern Africa,,913,6962.747,6840.862,6687.318,6576.449,6512.645,6440.525,6316.592,6156.385,5985.740,5841.134,5719.363,5600.085,5480.330,5347.993,5217.125,5098.325,4992.795
54,Medium variant,Botswana,,72,263.933,258.192,251.618,248.006,247.125,246.419,243.277,237.496,230.972,225.319,221.320,218.195,214.947,210.647,205.861,201.461,197.847
55,Medium variant,Lesotho,,426,307.149,303.072,296.937,295.206,295.206,294.017,289.759,284.123,277.559,270.242,263.929,257.658,251.085,244.594,237.989,231.823,225.917
56,Medium variant,Namibia,,516,363.428,371.699,376.127,381.273,388.204,395.133,397.812,394.805,388.578,382.079,376.257,370.809,364.931,357.132,348.856,341.105,334.041
57,Medium variant,South Africa,,710,5833.642,5715.215,5573.394,5464.481,5394.905,5319.235,5203.722,5063.339,4917.606,4797.289,4695.814,4595.527,4495.754,4386.724,4279.856,4183.321,4097.904
58,Medium variant,Swaziland,,748,194.595,192.684,189.242,187.483,187.205,185.721,182.022,176.622,171.025,166.205,162.043,157.896,153.613,148.896,144.563,140.615,137.086
59,Medium variant,Western Africa,3,914,70818.412,76354.001,82377.234,88595.113,94542.221,99913.323,104644.515,108872.899,112572.280,116055.433,119023.832,121271.729,122783.570,123694.436,124161.229,124036.357,123466.963
60,Medium variant,Benin,,204,2065.564,2240.378,2415.179,2583.995,2746.011,2893.020,3026.109,3149.789,3260.802,3364.386,3443.855,3509.972,3558.230,3595.273,3610.496,3606.257,3590.653
61,Medium variant,Burkina Faso,,854,3724.662,4030.674,4359.874,4681.238,4972.716,5220.651,5433.905,5635.237,5806.564,5964.582,6089.323,6170.641,6216.841,6233.398,6208.991,6171.516,6115.508
62,Medium variant,Cabo Verde,,132,56.668,55.515,53.218,50.724,48.603,46.925,45.527,44.093,42.600,41.106,39.693,38.489,37.486,36.497,35.536,34.573,33.668
63,Medium variant,Côte d'Ivoire,,384,4484.903,4860.255,5227.204,5617.168,6015.905,6410.177,6786.495,7136.863,7482.753,7799.784,8087.325,8330.614,8551.203,8724.660,8875.178,8956.158,9008.113
64,Medium variant,Gambia,,270,412.989,445.870,476.391,503.657,525.240,539.203,546.875,550.796,552.834,552.758,550.768,545.242,536.925,527.212,517.647,506.439,496.537
65,Medium variant,Ghana,,288,4403.204,4518.576,4668.008,4860.214,5058.006,5238.785,5354.953,5406.653,5443.894,5489.900,5526.730,5533.882,5502.595,5442.911,5358.390,5275.901,5199.737
66,Medium variant,Guinea,,324,2277.031,2431.002,2582.874,2726.754,2859.867,2986.009,3099.876,3195.526,3279.019,3344.597,3394.978,3426.350,3444.635,3442.130,3427.894,3397.011,3361.435
67,Medium variant,Guinea-Bissau,,624,336.099,348.053,359.249,374.268,391.233,405.849,416.472,422.934,428.105,433.830,438.234,441.099,439.983,436.329,431.003,425.671,420.144
68,Medium variant,Liberia,,430,810.726,870.812,930.737,987.117,1038.705,1084.973,1127.457,1166.846,1200.486,1230.523,1251.265,1264.553,1271.819,1272.318,1268.397,1257.801,1244.594
69,Medium variant,Mali,,466,3943.596,4316.963,4722.397,5096.352,5408.034,5650.344,5847.480,6025.940,6168.451,6288.248,6358.065,6377.844,6371.067,6322.975,6259.479,6183.949,6088.047
70,Medium variant,Mauritania,,478,750.360,803.507,855.242,908.134,961.673,1011.524,1055.120,1092.544,1125.733,1155.577,1180.983,1201.503,1218.477,1230.356,1232.305,1232.443,1226.635
71,Medium variant,Niger,,562,5241.955,6137.273,7122.607,8170.055,9249.192,10334.070,11395.427,12410.826,13360.887,14222.070,14957.069,15649.180,16179.336,16640.769,17002.591,17257.901,17416.785
