time,age,age_interval,survival_ratio
1995-2000,75,5,0.47695
1995-2000,80,5,0.26876
1995-2000,85,15,…
2000-2005,0,1,0.92455
2000-2005,1,4,0.96295
2000-2005,5,5,0.98391
2000-2005,10,5,0.98606
2000-2005,15,5,0.98010
2000-2005,20,5,0.97640
2000-2005,25,5,0.97464
2000-2005,30,5,0.97266
2000-2005,35,5,0.96949
2000-2005,40,5,0.96558
2000-2005,45,5,0.95675
2000-2005,50,5,0.94049
2000-2005,55,5,0.91030
2000-2005,60,5,0.85774
2000-2005,65,5,0.77372
2000-2005,70,5,0.64699
2000-2005,75,5,0.48313
2000-2005,80,5,0.27253
2000-2005,85,15,…
2005-2010,0,1,0.93691
2005-2010,1,4,0.97103
2005-2010,5,5,0.98560
2005-2010,10,5,0.98744
2005-2010,15,5,0.98190
2005-2010,20,5,0.97846
2005-2010,25,5,0.97678
2005-2010,30,5,0.97485
2005-2010,35,5,0.97169
2005-2010,40,5,0.96772
2005-2010,45,5,0.95913
2005-2010,50,5,0.94354
2005-2010,55,5,0.91474
2005-2010,60,5,0.86425
2005-2010,65,5,0.78243
2005-2010,70,5,0.65753
2005-2010,75,5,0.49382
2005-2010,80,5,0.27902
2005-2010,85,15,…
2010-2015,0,1,0.94389
2010-2015,1,4,0.97690
2010-2015,5,5,0.98690
2010-2015,10,5,0.98850
2010-2015,15,5,0.98330
2010-2015,20,5,0.98006
2010-2015,25,5,0.97844
2010-2015,30,5,0.97657
2010-2015,35,5,0.97341
2010-2015,40,5,0.96941
2010-2015,45,5,0.96102
2010-2015,50,5,0.94596
2010-2015,55,5,0.91828
2010-2015,60,5,0.86944
2010-2015,65,5,0.78941
2010-2015,70,5,0.66599
2010-2015,75,5,0.50242
2010-2015,80,5,0.28419
2010-2015,85,15,…
