,,,,,"Number of births, both sexes combined (thousands)",,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
176,Estimates,Luxembourg,,442,22.202,24.791,26.463,24.332,20.452,19.730,21.049,22.044,25.816,27.545,26.405,27.527,29.978
177,Estimates,Netherlands,,528,1142.841,1182.697,1249.634,1211.911,1047.665,883.517,879.844,935.708,976.923,969.171,996.573,931.159,889.261
178,Estimates,Switzerland,,756,414.853,449.470,526.799,528.828,448.152,370.012,371.258,390.887,411.782,399.213,366.837,383.640,417.009
179,Estimates,LATIN AMERICA AND THE CARIBBEAN,,904,38706.020,43172.006,48347.330,51466.333,54297.101,57259.432,59395.657,59894.195,59725.897,59257.282,57358.992,55189.420,54645.222
180,Estimates,Caribbean,24,915,3532.840,3760.152,4308.368,4265.173,4151.823,3937.243,4193.822,4296.712,4185.987,4055.632,3920.809,3848.015,3780.561
181,Estimates,Antigua and Barbuda,,28,9.053,9.481,9.684,10.399,9.736,7.581,7.449,6.795,6.708,8.177,8.630,8.283,8.162
182,Estimates,Aruba,,533,9.055,9.389,9.181,7.641,6.854,6.792,6.861,6.506,6.463,6.556,6.314,5.899,5.695
183,Estimates,Bahamas,,44,14.120,16.859,20.959,20.351,24.313,24.891,30.211,29.542,31.601,29.054,24.548,27.190,27.640
184,Estimates,Barbados,,52,37.722,36.168,33.977,27.860,24.817,22.422,22.398,21.289,20.421,19.239,18.061,17.636,17.243
185,Estimates,Cuba,,192,984.348,971.008,1337.137,1314.333,1200.600,837.202,823.815,915.719,829.812,766.643,681.276,622.144,637.115
186,Estimates,Curaçao,,531,20.151,21.670,19.905,19.035,16.317,15.443,15.153,15.312,13.521,10.458,8.730,8.523,9.828
187,Estimates,Dominican Republic,,214,699.288,812.357,889.277,928.418,951.154,973.815,1027.066,1056.532,1080.774,1066.364,1094.180,1100.633,1091.848
188,Estimates,Grenada,,308,15.705,19.627,18.888,13.679,13.614,13.538,15.356,15.481,12.176,10.463,9.604,10.006,10.241
189,Estimates,Guadeloupe,25,312,45.364,49.031,51.312,50.853,45.657,39.188,33.313,36.913,34.531,35.551,33.643,30.326,26.840
190,Estimates,Haiti,,332,769.259,822.844,886.067,914.275,940.301,1082.754,1290.564,1317.171,1324.024,1336.194,1324.480,1340.423,1320.438
191,Estimates,Jamaica,,388,252.684,311.054,344.548,344.176,315.824,303.925,322.174,312.835,302.593,295.548,269.595,256.804,244.965
192,Estimates,Martinique,,474,48.583,51.435,52.375,50.834,42.343,29.995,28.397,31.467,29.943,29.096,28.055,26.900,23.476
193,Estimates,Puerto Rico,,630,417.085,399.936,397.871,352.810,352.017,362.937,336.257,320.037,314.461,287.678,265.120,239.891,206.837
194,Estimates,Saint Lucia,,662,19.899,22.310,21.381,20.634,19.828,21.290,20.370,19.973,18.626,16.463,12.774,11.530,11.020
195,Estimates,Saint Vincent and the Grenadines,,670,17.381,18.901,19.308,18.661,17.795,16.070,14.972,13.692,12.921,11.563,10.094,9.657,8.985
196,Estimates,Trinidad and Tobago,,780,137.313,150.114,158.215,129.735,131.659,143.913,163.076,141.449,112.005,95.010,95.603,100.713,99.027
197,Estimates,United States Virgin Islands,,850,4.804,5.594,8.588,13.314,14.508,13.032,12.406,12.450,11.161,8.394,7.806,8.481,7.372
198,Estimates,Central America,,916,9989.046,11280.498,12584.862,14233.284,16414.797,16612.072,16654.510,17068.137,17535.074,17681.383,17344.632,16803.251,16810.763
199,Estimates,Belize,,84,19.049,20.097,21.630,24.077,26.791,29.397,30.809,32.806,33.935,35.411,37.769,37.052,39.587
200,Estimates,Costa Rica,,188,218.562,273.211,315.208,314.912,295.450,332.198,377.936,407.686,411.829,399.102,364.958,364.481,353.839
201,Estimates,El Salvador,,222,537.573,615.899,696.331,754.998,814.861,858.558,840.581,819.002,822.192,782.925,673.626,622.297,594.742
202,Estimates,Guatemala,,320,884.221,978.468,1067.784,1198.450,1358.646,1527.124,1657.657,1725.710,1902.850,2014.952,2089.449,2021.789,2055.174
203,Estimates,Honduras,,340,431.785,484.766,538.154,614.760,685.780,771.782,848.171,915.797,999.482,1048.203,1069.908,1037.076,988.085
204,Estimates,Mexico,,484,7322.530,8243.210,9230.674,10535.899,12338.464,12107.780,11843.488,12094.894,12305.320,12356.244,12090.126,11696.515,11767.045
205,Estimates,Nicaragua,,558,384.793,444.798,464.986,515.387,599.687,682.591,746.207,751.866,729.197,694.541,658.731,648.629,620.154
206,Estimates,Panama,,591,190.533,220.049,250.095,274.801,295.118,302.642,309.661,320.376,330.269,350.005,360.065,375.412,392.137
207,Estimates,South America,26,931,25184.134,28131.356,31454.100,32967.876,33730.481,36710.117,38547.325,38529.346,38004.836,37520.267,36093.551,34538.154,34053.898
208,Estimates,Argentina,,32,2287.819,2399.129,2486.041,2606.971,2926.079,3474.251,3382.365,3504.839,3608.661,3556.068,3658.866,3708.166,3770.839
209,Estimates,Bolivia (Plurinational State of),,68,752.575,797.974,852.184,917.002,994.714,1090.389,1157.369,1194.390,1237.230,1281.425,1287.916,1276.222,1258.165
210,Estimates,Brazil,,76,12784.542,14376.708,16169.974,16685.336,17125.946,18692.495,19889.364,19067.585,18331.992,18239.159,16949.009,15506.971,15128.756
211,Estimates,Chile,,152,1233.939,1345.424,1427.015,1458.854,1369.313,1305.394,1353.619,1456.648,1419.272,1334.047,1264.425,1251.096,1205.137
212,Estimates,Colombia,,170,3143.397,3484.739,3937.095,4229.134,3999.776,4267.428,4504.475,4523.112,4493.331,4269.439,4212.842,4020.994,3820.450
213,Estimates,Ecuador,,218,846.011,952.072,1068.861,1195.495,1291.443,1353.035,1424.294,1511.219,1555.193,1580.476,1566.586,1616.214,1648.239
214,Estimates,French Guiana,,254,4.910,4.993,5.596,7.033,7.903,7.954,11.080,15.239,20.032,22.189,26.181,30.823,32.412
215,Estimates,Guyana,,328,99.723,118.431,124.085,126.065,126.589,118.557,120.561,107.428,106.408,102.192,90.860,79.998,79.741
216,Estimates,Paraguay,,600,347.914,380.709,419.200,457.367,468.373,539.112,629.111,689.461,718.093,735.926,695.406,699.807,695.732
217,Estimates,Peru,,604,1972.289,2230.745,2531.545,2761.360,2886.880,3116.334,3138.824,3273.280,3292.748,3177.139,3079.039,3042.453,3098.142
218,Estimates,Suriname,,740,55.796,61.947,69.298,69.191,63.406,53.874,53.890,55.053,56.797,55.645,53.901,52.010,51.387
219,Estimates,Uruguay,,858,244.662,269.180,286.533,281.648,297.852,290.559,271.773,279.046,288.027,276.981,264.759,253.256,245.595
220,Estimates,Venezuela (Bolivarian Republic of),,862,1410.346,1709.081,2076.416,2172.170,2172.009,2400.587,2610.467,2851.914,2876.901,2889.409,2943.588,2999.970,3019.141
221,Estimates,NORTHERN AMERICA,27,905,21944.553,23659.528,22656.080,19958.835,18510.262,18363.759,19891.025,21208.381,21987.615,21302.957,21912.804,22638.135,21625.465
222,Estimates,Canada,,124,2016.271,2293.517,2329.899,1897.824,1741.975,1787.730,1836.553,1884.160,1952.022,1736.206,1662.033,1846.624,1918.854
223,Estimates,United States of America,,840,19916.401,21351.567,20310.523,18047.457,16757.731,16566.575,18044.403,19313.534,20024.604,19556.999,20241.846,20783.126,19699.070
224,Estimates,OCEANIA,,909,1844.603,2057.099,2179.331,2283.907,2436.095,2336.733,2460.736,2593.952,2752.956,2812.560,2889.239,3181.069,3271.722
225,Estimates,Australia/New Zealand,,927,1257.829,1406.674,1467.806,1514.784,1584.801,1392.828,1435.269,1513.175,1589.161,1536.438,1540.486,1774.623,1832.683
226,Estimates,Australia,28,36,999.404,1109.205,1159.523,1205.531,1274.916,1128.195,1181.185,1236.842,1296.231,1255.317,1257.036,1457.040,1524.935
227,Estimates,New Zealand,,554,258.425,297.469,308.283,309.253,309.885,264.633,254.084,276.333,292.930,281.121,283.450,317.583,307.748
228,Estimates,Melanesia,,928,492.418,544.868,594.597,647.228,727.924,814.858,886.448,932.084,1013.564,1128.422,1208.425,1274.661,1314.665
229,Estimates,Fiji,,242,72.503,86.281,90.646,88.178,90.648,102.228,111.405,107.122,105.845,101.735,97.864,94.330,90.557
230,Estimates,New Caledonia,,540,11.559,12.542,14.423,17.426,21.562,19.752,18.993,19.224,21.722,21.583,21.177,21.064,21.172
231,Estimates,Papua New Guinea,,598,376.358,409.050,446.964,492.758,554.394,622.635,679.356,720.596,792.978,905.193,981.521,1043.277,1083.364
232,Estimates,Solomon Islands,,90,18.909,22.270,26.173,31.479,42.361,48.803,53.140,59.780,65.092,70.035,77.389,84.574,85.826
233,Estimates,Vanuatu,,548,13.089,14.725,16.391,17.387,18.959,21.440,23.554,25.362,27.927,29.876,30.474,31.416,33.746
234,Estimates,Micronesia,29,954,32.887,37.709,42.604,44.100,46.320,50.329,56.380,63.051,66.446,68.200,63.354,56.816,53.765
235,Estimates,Guam,,316,9.668,11.383,13.646,12.942,13.973,14.775,14.981,16.730,16.566,17.285,16.245,14.577,13.860
236,Estimates,Kiribati,,296,8.027,9.340,9.971,9.356,8.614,10.100,11.357,12.709,13.336,12.901,13.188,14.403,15.697
237,Estimates,Micronesia (Fed. States of),,583,8.373,9.224,10.342,11.928,12.439,13.005,15.580,16.156,16.729,16.872,15.014,12.860,12.255
238,Estimates,Polynesia,30,957,61.469,67.848,74.324,77.795,77.050,78.718,82.639,85.642,83.785,79.500,76.974,74.969,70.609
239,Estimates,French Polynesia,,258,14.881,16.024,16.668,18.385,20.671,22.462,24.869,28.163,26.706,24.093,23.475,22.638,21.957
240,Estimates,Samoa,,882,22.794,24.735,27.873,29.092,29.255,28.959,28.596,27.674,26.770,27.208,26.273,26.729,25.043
241,Estimates,Tonga,,776,12.107,13.924,15.562,15.994,14.289,15.319,16.290,14.862,14.935,13.734,14.195,14.466,13.512
