,,,,,"Number of births, both sexes combined (thousands)",,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
39,Estimates,Chad,,148,608.171,660.481,719.384,797.936,929.450,1062.595,1200.474,1397.083,1661.802,1963.835,2312.330,2638.510,2926.618
40,Estimates,Congo,,178,183.756,206.182,236.759,274.142,320.500,368.651,405.394,444.687,499.230,587.635,683.215,786.993,863.434
41,Estimates,Democratic Republic of the Congo,,180,2962.020,3337.578,3819.663,4377.129,4981.740,5705.727,6503.426,7431.050,8781.900,10202.423,11669.342,13529.806,15482.351
42,Estimates,Equatorial Guinea,,226,49.606,51.817,54.982,61.018,60.194,55.866,66.935,84.072,96.813,115.803,138.568,165.250,191.389
43,Estimates,Gabon,,266,72.531,77.463,88.551,102.922,115.332,130.415,149.197,168.151,184.976,199.506,214.896,243.861,279.677
44,Estimates,Sao Tome and Principe,,678,14.166,14.652,15.138,14.755,15.835,18.166,20.169,21.913,24.025,26.596,29.015,31.086,32.958
45,Estimates,Northern Africa,,912,13141.828,14626.584,16140.218,17581.541,18929.607,20738.943,22660.966,23637.363,22897.086,21794.470,22729.760,25008.728,29085.831
46,Estimates,Algeria,,12,2346.562,2601.933,2936.631,3226.269,3640.706,4055.725,4272.385,4266.553,3950.963,3245.908,3098.514,4007.791,4808.212
47,Estimates,Egypt,,818,5689.460,6170.542,6596.460,7147.254,7545.225,8182.463,9151.627,9881.040,9129.037,8633.702,9310.280,10142.269,12661.897
48,Estimates,Libya,,434,302.090,342.918,398.422,498.945,588.857,640.887,656.351,672.889,622.569,586.697,590.266,634.902,659.182
49,Estimates,Morocco,,504,2499.478,2939.154,3300.742,3409.158,3453.496,3658.888,3905.959,3717.807,3563.336,3244.210,3232.746,3315.727,3577.584
50,Estimates,Sudan,,729,1440.775,1642.591,1911.747,2246.320,2636.611,3078.958,3507.517,3934.678,4602.168,5164.880,5629.123,5974.128,6274.213
51,Estimates,Tunisia,,788,859.245,922.608,985.340,1037.625,1047.865,1097.137,1133.882,1129.211,991.884,880.313,823.962,883.635,1048.883
52,Estimates,Western Sahara,,732,4.218,6.838,10.876,15.970,16.847,24.885,33.245,35.185,37.129,38.760,44.869,50.276,55.860
53,Estimates,Southern Africa,,913,3473.377,3833.855,4252.082,4695.984,5303.045,5848.932,6322.300,6474.072,6415.224,6508.600,6630.837,6770.913,6993.484
54,Estimates,Botswana,,72,103.697,117.944,131.491,149.794,173.550,205.698,233.012,231.061,235.136,240.137,236.758,244.575,265.387
55,Estimates,Lesotho,,426,160.319,173.157,188.814,209.209,233.671,258.769,278.003,283.403,288.480,301.968,287.230,283.726,302.071
56,Estimates,Namibia,,516,110.904,121.736,135.931,155.167,186.341,210.101,222.974,251.310,283.172,295.587,299.994,310.469,348.936
57,Estimates,South Africa,,710,3028.718,3342.936,3707.232,4079.331,4590.740,5038.642,5433.127,5531.124,5428.553,5497.676,5631.594,5746.733,5886.553
58,Estimates,Swaziland,,748,69.739,78.082,88.614,102.483,118.743,135.722,155.184,177.174,179.883,173.232,175.261,185.410,190.537
59,Estimates,Western Africa,3,914,17537.204,19320.740,21435.207,23815.470,27075.032,30824.245,34678.609,38428.489,42695.789,47880.205,53639.153,59657.911,65725.574
60,Estimates,Benin,,204,465.125,510.305,573.858,645.193,725.579,826.119,943.423,1078.287,1231.625,1384.385,1538.805,1719.855,1899.774
61,Estimates,Burkina Faso,,854,1037.684,1106.537,1179.264,1283.676,1399.367,1584.349,1782.105,1976.106,2227.497,2531.724,2854.123,3173.477,3437.548
62,Estimates,Cabo Verde,,132,45.670,48.405,50.986,54.118,55.136,56.714,63.217,69.220,67.996,65.109,61.777,59.229,56.460
63,Estimates,Côte d'Ivoire,,384,801.199,926.122,1076.392,1269.277,1535.664,1882.173,2175.894,2489.386,2847.680,3246.612,3509.312,3748.140,4102.105
64,Estimates,Gambia,,270,62.783,80.969,95.523,105.673,123.123,145.189,167.109,198.508,232.435,262.616,298.947,336.614,377.816
65,Estimates,Ghana,,288,1190.959,1422.074,1696.885,1926.328,2113.055,2270.875,2484.583,2743.846,2959.155,3245.069,3502.253,3880.759,4261.208
66,Estimates,Guinea,,324,754.204,801.399,849.949,911.539,983.419,1040.355,1136.150,1307.353,1591.312,1825.137,1930.669,2030.682,2144.364
67,Estimates,Guinea-Bissau,,624,127.683,128.635,133.375,144.116,162.579,183.612,212.020,226.999,242.375,251.428,267.016,292.238,319.501
68,Estimates,Liberia,,430,228.091,258.713,291.880,326.749,373.728,430.056,494.353,500.816,460.103,539.635,639.734,696.316,756.895
69,Estimates,Mali,,466,1250.531,1292.323,1356.782,1447.220,1565.297,1694.616,1841.366,1984.738,2210.745,2504.034,2893.166,3322.518,3639.774
70,Estimates,Mauritania,,478,171.275,199.862,224.138,250.522,281.456,314.475,351.551,394.308,439.198,491.688,552.183,618.245,692.471
71,Estimates,Niger,,562,788.912,916.466,1063.717,1212.494,1367.590,1574.271,1831.610,2084.452,2415.536,2820.572,3290.771,3822.569,4469.172
72,Estimates,Nigeria,,566,9104.910,9989.421,11012.380,12155.238,14003.140,16161.365,18209.501,20090.486,22231.869,24919.472,28057.592,31196.795,34423.618
73,Estimates,Senegal,,686,676.482,759.015,865.572,995.031,1146.566,1283.121,1440.151,1557.047,1713.061,1865.987,2048.003,2325.519,2620.891
74,Estimates,Sierra Leone,,694,490.307,518.282,571.274,627.716,692.637,764.341,855.894,952.118,1002.950,1017.506,1140.496,1266.388,1276.406
75,Estimates,Togo,,768,340.461,361.254,392.468,459.768,545.971,611.940,689.004,774.263,821.690,908.710,1053.985,1168.344,1247.365
76,Estimates,ASIA,,935,308125.083,318312.058,359081.048,390067.550,393203.289,377710.870,402814.728,439833.160,408769.154,382665.226,378649.844,382612.702,380645.478
77,Estimates,Eastern Asia,,906,140262.506,132710.548,156006.673,171120.969,157350.620,124693.533,127824.045,154151.827,122274.283,98364.324,93540.433,95402.577,98175.018
78,Estimates,China,4,156,122233.161,114257.431,137546.132,151906.048,137215.138,107274.731,111501.009,139751.261,108067.740,84951.634,81617.395,84152.481,87015.715
79,Estimates,"China, Hong Kong SAR",5,344,435.886,502.265,541.646,399.480,387.345,388.869,391.702,367.117,368.455,319.026,284.423,313.034,373.740
80,Estimates,"China, Macao SAR",6,446,35.208,30.713,23.342,15.974,13.033,13.067,27.665,34.621,27.556,22.433,16.958,21.567,32.037
81,Estimates,"China, Taiwan Province of China",,158,1921.446,2053.576,2062.841,1952.945,1934.126,2090.046,1932.807,1620.216,1621.935,1522.277,1210.139,965.916,1008.234
82,Estimates,Dem. People's Republic of Korea,,408,1304.537,2161.770,1950.486,2598.149,2504.538,1758.067,1972.461,2010.608,2180.410,2130.302,1969.274,1798.843,1747.986
83,Estimates,Japan,,392,10126.110,8330.857,8404.482,9110.119,10277.709,8702.948,7692.384,6819.657,6170.188,5981.276,5689.593,5571.145,5388.040
84,Estimates,Mongolia,,496,163.736,194.831,247.495,267.664,297.374,314.130,344.594,372.822,307.883,248.935,232.989,291.082,369.462
85,Estimates,Republic of Korea,,410,4042.422,5179.105,5230.249,4870.590,4721.357,4151.675,3961.423,3175.525,3530.116,3188.441,2519.662,2288.509,2239.804
86,Estimates,South-Central Asia,7,921,117014.049,127651.436,139001.596,149555.018,161910.756,175250.170,192767.492,202308.179,202974.015,203021.875,202070.007,201976.775,195207.803
87,Estimates,Central Asia,,5500,3518.535,4527.766,5296.618,5236.497,5728.753,6270.069,7116.238,7910.020,7559.196,6395.500,5982.496,7080.701,7963.879
88,Estimates,Kazakhstan,,398,1258.900,1610.213,1853.817,1641.656,1770.275,1835.264,1974.621,2067.827,1680.200,1252.906,1266.017,1721.473,1950.410
89,Estimates,Kyrgyzstan,,417,308.928,408.009,466.903,461.754,502.259,541.283,617.522,687.825,655.033,568.930,515.967,625.011,763.723
90,Estimates,Tajikistan,,762,355.279,464.927,547.739,590.037,656.456,723.834,885.481,1051.381,1034.029,980.212,929.912,1068.534,1222.104
91,Estimates,Turkmenistan,,795,258.377,332.370,393.618,403.880,437.259,498.049,548.770,635.297,650.265,545.759,542.091,574.673,719.163
92,Estimates,Uzbekistan,,860,1337.051,1712.247,2034.541,2139.170,2362.504,2671.639,3089.844,3467.690,3539.669,3047.693,2728.509,3091.010,3308.479
93,Estimates,Southern Asia,,5501,113495.514,123123.670,133704.978,144318.521,156182.003,168980.101,185651.254,194398.159,195414.819,196626.375,196087.511,194896.074,187243.924
94,Estimates,Afghanistan,,4,2015.476,2201.589,2438.489,2725.445,3048.468,3284.102,3149.701,2982.985,3570.874,4569.075,5287.210,5709.012,5651.992
95,Estimates,Bangladesh,,50,9249.629,10953.954,12766.442,14670.707,15973.106,17064.857,18421.704,18863.246,18554.837,18344.465,17875.234,16634.396,15828.452
96,Estimates,Bhutan,,64,44.909,51.966,59.589,68.832,78.120,87.143,94.277,104.833,94.529,84.579,77.649,76.648,73.015
97,Estimates,India,,356,85617.456,91493.568,98226.250,104719.297,112843.332,120598.963,131151.099,136178.319,137429.722,138960.390,139112.665,136175.517,127304.801
98,Estimates,Iran (Islamic Republic of),,364,4615.244,5046.037,5432.713,5816.559,6328.063,7613.165,9586.239,9899.905,8194.740,6613.381,6095.912,6560.924,6993.447
99,Estimates,Maldives,,462,16.641,22.414,26.324,28.599,30.364,32.985,42.092,46.604,42.867,34.708,30.800,33.475,38.794
100,Estimates,Nepal,,524,2128.165,2223.078,2312.804,2471.983,2692.797,2981.396,3256.423,3509.023,3737.156,3870.460,3662.992,3322.272,2908.410
101,Estimates,Pakistan,,586,8234.406,9337.259,10597.345,11893.938,13296.399,15318.404,17934.628,20980.915,22030.546,22436.628,22164.256,24555.792,26766.258
102,Estimates,Sri Lanka,,144,1573.588,1793.805,1845.022,1923.161,1891.354,1999.086,2015.091,1832.329,1759.548,1712.689,1780.793,1828.038,1678.755
103,Estimates,South-Eastern Asia,,920,38297.667,44242.385,48905.242,52847.113,55755.256,57812.022,60240.419,60250.853,59808.372,57059.197,58321.730,58959.037,59313.183
104,Estimates,Brunei Darussalam,,96,13.670,17.126,19.621,21.476,26.678,29.714,32.117,36.175,39.360,37.797,33.464,31.314,33.646
105,Estimates,Cambodia,,116,1161.198,1272.842,1400.303,1484.601,1527.087,1444.786,1823.326,1927.112,1865.061,1753.005,1681.064,1810.295,1828.743
106,Estimates,Indonesia,,360,15690.779,18514.043,20501.094,22318.971,23481.526,24294.002,24792.723,23781.738,23112.569,22281.415,24091.343,25000.466,25326.902
107,Estimates,Lao People's Democratic Republic,,418,406.157,439.953,483.975,543.770,618.839,673.770,745.081,858.728,945.060,883.978,821.856,836.920,822.126
108,Estimates,Malaysia,8,458,1427.853,1625.931,1845.772,1810.291,1882.735,2040.677,2282.451,2430.990,2619.215,2691.583,2370.653,2369.674,2524.464
109,Estimates,Myanmar,,104,4285.736,4446.270,4676.024,5023.246,5411.601,5754.858,6045.493,5713.915,5389.873,5478.648,5742.874,5247.284,4795.682
110,Estimates,Philippines,,608,4953.785,5530.053,6148.810,6736.946,7375.656,8284.881,9076.774,9914.415,10513.288,11166.103,11828.687,11635.967,11770.072
111,Estimates,Singapore,,702,269.940,310.797,293.548,249.490,239.171,197.855,217.499,254.074,285.500,264.163,236.671,241.287,246.427
112,Estimates,Thailand,,764,4718.415,5477.469,6252.847,6939.284,6872.738,6509.012,6014.504,5556.779,5273.504,4802.853,4354.772,4097.796,3822.704
