time,age,age_interval,survivors
1995-2000,70,5,44103.653
1995-2000,75,5,31234.901
1995-2000,80,5,17438.902
1995-2000,85,15,6572.563
2000-2005,0,1,100000.000
2000-2005,1,4,94615.094
2000-2005,5,5,89957.271
2000-2005,10,5,88101.987
2000-2005,15,5,87092.782
2000-2005,20,5,85581.106
2000-2005,25,5,83684.252
2000-2005,30,5,81615.716
2000-2005,35,5,79493.184
2000-2005,40,5,77198.274
2000-2005,45,5,74702.551
2000-2005,50,5,71919.731
2000-2005,55,5,68278.170
2000-2005,60,5,63457.107
2000-2005,65,5,56272.016
2000-2005,70,5,46276.073
2000-2005,75,5,33043.045
2000-2005,80,5,18663.645
2000-2005,85,15,7144.060
2005-2010,0,1,100000.000
2005-2010,1,4,95265.734
2005-2010,5,5,91825.417
2005-2010,10,5,90128.875
2005-2010,15,5,89205.114
2005-2010,20,5,87800.847
2005-2010,25,5,86028.557
2005-2010,30,5,84083.570
2005-2010,35,5,82077.790
2005-2010,40,5,79890.933
2005-2010,45,5,77480.478
2005-2010,50,5,74762.075
2005-2010,55,5,71176.667
2005-2010,60,5,66403.169
2005-2010,65,5,59251.649
2005-2010,70,5,49178.559
2005-2010,75,5,35606.707
2005-2010,80,5,20511.620
2005-2010,85,15,8060.733
2010-2015,0,1,100000.000
2010-2015,1,4,95505.000
2010-2015,5,5,92990.000
2010-2015,10,5,91427.005
2010-2015,15,5,90574.254
2010-2015,20,5,89261.576
2010-2015,25,5,87597.056
2010-2015,30,5,85760.497
2010-2015,35,5,83858.974
2010-2015,40,5,81770.755
2010-2015,45,5,79442.547
2010-2015,50,5,76791.752
2010-2015,55,5,73272.185
2010-2015,60,5,68564.690
2010-2015,65,5,61482.366
2010-2015,70,5,51404.718
2010-2015,75,5,37629.913
2010-2015,80,5,22017.240
2010-2015,85,15,8833.375
