,,,,,,Number of female deaths by five-year age group (thousands),,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Period,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95+
1,Medium variant,WORLD,,900,2015-2020,13898.811,1403.338,1204.626,1401.313,1761.345,1948.072,2143.356,2388.847,2775.662,3493.636,4585.079,6167.047,8525.258,11071.382,12983.789,15278.779,16548.902,14440.354,9357.361,4393.831
2,Medium variant,WORLD,,900,2020-2025,12303.176,1267.709,1097.238,1304.752,1642.887,1802.786,2043.598,2399.975,2801.312,3502.943,4695.746,6520.212,9035.088,12320.452,15266.010,16574.572,17481.484,15943.179,10724.383,5708.056
3,Medium variant,WORLD,,900,2025-2030,10909.211,1134.050,989.310,1208.880,1550.612,1697.125,1896.963,2306.880,2844.208,3553.587,4712.380,6695.116,9626.061,13150.107,17147.647,19830.981,19403.117,17237.895,12196.007,6932.807
4,Medium variant,WORLD,,900,2030-2035,9713.698,1008.685,885.366,1107.374,1453.868,1618.241,1790.125,2147.828,2759.970,3647.491,4801.659,6712.615,9919.834,14138.621,18435.549,22471.536,23613.363,19730.955,13560.638,8265.301
5,Medium variant,WORLD,,900,2035-2040,8679.999,897.490,792.449,1009.999,1350.110,1537.458,1717.823,2037.447,2589.480,3576.814,4970.045,6845.054,9942.423,14666.348,20035.684,24458.194,27126.633,24570.621,16174.260,9694.096
6,Medium variant,WORLD,,900,2040-2045,7779.611,800.790,714.643,928.355,1257.025,1457.867,1663.363,1991.604,2498.281,3395.587,4916.739,7117.168,10123.389,14665.406,20827.618,26752.736,29849.442,28534.349,20528.663,12024.127
7,Medium variant,WORLD,,900,2045-2050,6960.120,712.941,644.070,853.756,1167.518,1367.464,1585.067,1940.476,2457.551,3286.465,4668.998,7043.165,10559.793,14981.268,20917.440,28098.787,33157.280,32128.043,24290.385,15644.194
8,Medium variant,WORLD,,900,2050-2055,6217.417,633.442,580.287,785.084,1083.573,1278.375,1493.752,1864.959,2417.490,3249.254,4521.250,6664.380,10459.033,15728.254,21484.427,28418.293,35252.717,36310.866,28040.796,19355.135
9,Medium variant,WORLD,,900,2055-2060,5584.466,566.730,525.862,725.515,1011.860,1202.586,1409.990,1776.548,2347.590,3216.998,4480.836,6439.135,9879.481,15650.726,22753.960,29410.102,35962.399,39143.917,32313.259,23371.076
10,Medium variant,WORLD,,900,2060-2065,5060.138,510.865,478.616,672.112,946.916,1134.796,1334.857,1688.063,2251.519,3137.704,4444.970,6373.870,9547.108,14826.901,22804.762,31525.220,37604.985,40440.193,35485.347,28048.542
11,Medium variant,WORLD,,900,2065-2070,4600.765,461.551,435.789,622.291,885.837,1071.163,1265.973,1606.562,2151.105,3019.592,4341.059,6311.484,9452.540,14383.054,21679.469,31864.395,40843.986,42836.259,37298.904,32409.732
12,Medium variant,WORLD,,900,2070-2075,4220.913,423.263,400.034,577.730,828.813,1011.472,1203.004,1534.043,2061.262,2898.007,4187.887,6160.353,9372.873,14321.576,21154.119,30446.203,41707.839,47223.148,40123.224,35897.748
13,Medium variant,WORLD,,900,2075-2080,3880.164,387.173,368.372,536.050,773.231,950.500,1138.195,1462.389,1975.613,2782.086,4018.965,5927.477,9146.487,14271.872,21235.165,29939.298,40129.391,48786.284,44955.735,39768.799
14,Medium variant,WORLD,,900,2080-2085,3568.267,356.799,341.940,502.472,727.337,897.138,1077.782,1392.749,1893.978,2673.643,3856.859,5665.997,8785.078,13974.576,21319.922,30346.991,39787.622,47373.525,47162.093,45475.352
15,Medium variant,WORLD,,900,2085-2090,3294.993,330.359,318.076,471.463,685.351,847.421,1018.103,1321.100,1808.339,2565.427,3703.972,5419.920,8395.363,13489.615,21062.968,30864.563,40869.316,47476.419,46479.002,50135.850
16,Medium variant,WORLD,,900,2090-2095,3049.282,306.350,295.966,442.224,645.517,799.467,959.108,1246.341,1715.343,2448.244,3550.100,5188.994,8032.029,12961.573,20498.087,30863.183,42173.344,49431.119,47169.883,52140.816
17,Medium variant,WORLD,,900,2095-2100,2829.185,283.770,275.002,413.786,606.636,753.602,903.071,1172.295,1617.129,2318.647,3380.702,4951.898,7680.036,12454.228,19834.693,30329.140,42711.530,51735.706,49795.683,54340.307
18,Medium variant,More developed regions,a,901,2015-2020,162.003,13.464,18.100,34.885,59.647,96.050,144.840,198.548,282.950,424.633,664.885,1011.765,1428.461,1905.586,2478.813,3716.521,5289.650,6150.625,5132.359,2725.570
19,Medium variant,More developed regions,a,901,2020-2025,140.239,12.105,17.028,32.692,52.231,79.406,128.721,189.911,267.114,397.493,593.835,900.782,1348.270,1935.955,2709.001,3646.260,5207.448,6345.717,5466.766,3459.194
20,Medium variant,More developed regions,a,901,2025-2030,120.823,10.677,15.535,31.134,49.956,69.421,105.060,168.127,254.566,374.719,555.531,803.273,1200.169,1834.960,2770.123,4021.798,5287.549,6462.079,5890.301,3967.111
21,Medium variant,More developed regions,a,901,2030-2035,106.193,9.335,13.851,28.860,48.227,66.885,91.493,137.867,227.014,357.001,523.481,750.859,1070.268,1639.558,2643.237,4145.795,5905.422,6919.419,6251.162,4512.360
22,Medium variant,More developed regions,a,901,2035-2040,96.256,8.206,12.208,26.156,45.209,65.119,88.064,119.855,188.302,320.596,498.371,707.019,1000.253,1464.946,2378.487,4004.471,6151.986,7892.975,7119.838,5095.846
23,Medium variant,More developed regions,a,901,2040-2045,88.890,7.398,10.862,23.418,41.484,61.205,85.464,114.599,164.072,269.248,449.208,672.421,941.550,1370.133,2131.399,3645.142,6051.302,8356.174,8300.097,6130.214
24,Medium variant,More developed regions,a,901,2045-2050,82.077,6.867,9.829,20.958,37.648,56.293,80.152,110.787,156.190,235.515,378.405,604.113,894.964,1292.919,2003.568,3305.801,5643.234,8505.457,8996.076,7435.967
25,Medium variant,More developed regions,a,901,2050-2055,74.673,6.378,9.170,19.157,33.981,50.816,73.138,103.318,149.944,223.029,330.492,505.509,800.503,1229.805,1895.996,3127.591,5217.317,8240.268,9506.105,8433.527
26,Medium variant,More developed regions,a,901,2055-2060,67.518,5.835,8.524,17.906,31.351,45.883,65.654,93.948,139.389,213.240,312.498,439.987,667.446,1102.639,1811.723,2978.854,4988.477,7887.740,9626.245,9379.355
27,Medium variant,More developed regions,a,901,2060-2065,61.281,5.310,7.764,16.554,29.233,42.220,58.943,84.064,126.716,197.489,297.561,414.972,578.694,918.388,1629.754,2861.978,4789.480,7691.441,9600.454,10142.852
28,Medium variant,More developed regions,a,901,2065-2070,56.038,4.773,7.012,15.163,27.232,39.395,53.821,74.935,113.279,179.540,274.683,393.964,544.504,794.449,1357.017,2589.136,4641.238,7516.248,9628.453,10783.535
29,Medium variant,More developed regions,a,901,2070-2075,51.993,4.308,6.249,13.718,24.962,36.572,50.013,68.126,100.928,160.631,249.402,363.093,517.402,748.702,1175.536,2172.320,4260.548,7442.073,9661.137,11434.378
30,Medium variant,More developed regions,a,901,2075-2080,48.059,3.980,5.717,12.371,22.648,33.505,46.301,63.099,91.423,142.867,222.563,327.990,475.928,712.926,1110.906,1891.952,3650.960,7034.631,9831.190,11981.633
31,Medium variant,More developed regions,a,901,2080-2085,44.072,3.667,5.232,11.110,20.275,30.156,42.020,57.997,84.080,129.012,197.424,291.121,428.483,656.812,1062.665,1796.282,3236.442,6301.879,9650.627,12675.587
32,Medium variant,More developed regions,a,901,2085-2090,40.166,3.374,4.786,10.095,18.291,26.849,37.481,52.410,77.045,118.166,177.598,256.875,378.607,590.779,982.103,1730.151,3108.026,5783.358,9102.139,13162.403
33,Medium variant,More developed regions,a,901,2090-2095,36.720,3.091,4.366,9.167,16.525,24.032,33.233,46.509,69.323,107.724,162.033,230.271,333.027,522.103,885.691,1611.095,3022.727,5665.709,8737.434,13335.090
34,Medium variant,More developed regions,a,901,2095-2100,33.685,2.798,3.919,8.293,15.014,21.714,29.556,40.908,61.194,96.352,146.750,208.866,297.140,457.945,782.579,1460.854,2837.298,5592.577,8821.498,13580.302
35,Medium variant,Less developed regions,b,902,2015-2020,13736.808,1389.874,1186.526,1366.428,1701.698,1852.022,1998.516,2190.299,2492.712,3069.003,3920.194,5155.282,7096.797,9165.796,10504.976,11562.258,11259.252,8289.729,4225.002,1668.261
36,Medium variant,Less developed regions,b,902,2020-2025,12162.937,1255.604,1080.210,1272.060,1590.656,1723.380,1914.877,2210.064,2534.198,3105.450,4101.911,5619.430,7686.818,10384.497,12557.009,12928.312,12274.036,9597.462,5257.617,2248.862
37,Medium variant,Less developed regions,b,902,2025-2030,10788.388,1123.373,973.775,1177.746,1500.656,1627.704,1791.903,2138.753,2589.642,3178.868,4156.849,5891.843,8425.892,11315.147,14377.524,15809.183,14115.568,10775.816,6305.706,2965.696
38,Medium variant,Less developed regions,b,902,2030-2035,9607.505,999.350,871.515,1078.514,1405.641,1551.356,1698.632,2009.961,2532.956,3290.490,4278.178,5961.756,8849.566,12499.063,15792.312,18325.741,17707.941,12811.536,7309.476,3752.941
39,Medium variant,Less developed regions,b,902,2035-2040,8583.743,889.284,780.241,983.843,1304.901,1472.339,1629.759,1917.592,2401.178,3256.218,4471.674,6138.035,8942.170,13201.402,17657.197,20453.723,20974.647,16677.646,9054.422,4598.250
40,Medium variant,Less developed regions,b,902,2040-2045,7690.721,793.392,703.781,904.937,1215.541,1396.662,1577.899,1877.005,2334.209,3126.339,4467.531,6444.747,9181.839,13295.273,18696.219,23107.594,23798.140,20178.175,12228.566,5893.913
41,Medium variant,Less developed regions,b,902,2045-2050,6878.043,706.074,634.241,832.798,1129.870,1311.171,1504.915,1829.689,2301.361,3050.950,4290.593,6439.052,9664.829,13688.349,18913.872,24792.986,27514.046,23622.586,15294.309,8208.227
42,Medium variant,Less developed regions,b,902,2050-2055,6142.744,627.064,571.117,765.927,1049.592,1227.559,1420.614,1761.641,2267.546,3026.225,4190.758,6158.871,9658.530,14498.449,19588.431,25290.702,30035.400,28070.598,18534.691,10921.608
43,Medium variant,Less developed regions,b,902,2055-2060,5516.948,560.895,517.338,707.609,980.509,1156.703,1344.336,1682.600,2208.201,3003.758,4168.338,5999.148,9212.035,14548.087,20942.237,26431.248,30973.922,31256.177,22687.014,13991.721
44,Medium variant,Less developed regions,b,902,2060-2065,4998.857,505.555,470.852,655.558,917.683,1092.576,1275.914,1603.999,2124.803,2940.215,4147.409,5958.898,8968.414,13908.513,21175.008,28663.242,32815.505,32748.752,25884.893,17905.690
45,Medium variant,Less developed regions,b,902,2065-2070,4544.727,456.778,428.777,607.128,858.605,1031.768,1212.152,1531.627,2037.826,2840.052,4066.376,5917.520,8908.036,13588.605,20322.452,29275.259,36202.748,35320.011,27670.451,21626.197
46,Medium variant,Less developed regions,b,902,2070-2075,4168.920,418.955,393.785,564.012,803.851,974.900,1152.991,1465.917,1960.334,2737.376,3938.485,5797.260,8855.471,13572.874,19978.583,28273.883,37447.291,39781.075,30462.087,24463.370
47,Medium variant,Less developed regions,b,902,2075-2080,3832.105,383.193,362.655,523.679,750.583,916.995,1091.894,1399.290,1884.190,2639.219,3796.402,5599.487,8670.559,13558.946,20124.259,28047.346,36478.431,41751.653,35124.545,27787.166
48,Medium variant,Less developed regions,b,902,2080-2085,3524.195,353.132,336.708,491.362,707.062,866.982,1035.762,1334.752,1809.898,2544.631,3659.435,5374.876,8356.595,13317.764,20257.257,28550.709,36551.180,41071.646,37511.466,32799.765
49,Medium variant,Less developed regions,b,902,2085-2090,3254.827,326.985,313.290,461.368,667.060,820.572,980.622,1268.690,1731.294,2447.261,3526.374,5163.045,8016.756,12898.836,20080.865,29134.412,37761.290,41693.061,37376.863,36973.447
50,Medium variant,Less developed regions,b,902,2090-2095,3012.562,303.259,291.600,433.057,628.992,775.435,925.875,1199.832,1646.020,2340.520,3388.067,4958.723,7699.002,12439.470,19612.396,29252.088,39150.617,43765.410,38432.449,38805.726
51,Medium variant,Less developed regions,b,902,2095-2100,2795.500,280.972,271.083,405.493,591.622,731.888,873.515,1131.387,1555.935,2222.295,3233.952,4743.032,7382.896,11996.283,19052.114,28868.286,39874.232,46143.129,40974.185,40760.005
52,Medium variant,Least developed countries,c,941,2015-2020,5266.064,561.403,433.273,438.262,499.928,525.273,546.033,569.332,561.188,564.569,618.763,721.880,874.495,1085.643,1266.199,1264.558,1053.306,655.457,268.823,76.168
53,Medium variant,Least developed countries,c,941,2020-2025,4838.294,511.940,398.663,422.713,495.677,526.229,547.377,585.452,601.619,612.610,676.221,804.630,987.108,1213.797,1410.106,1437.023,1209.061,767.691,339.091,114.290
54,Medium variant,Least developed countries,c,941,2025-2030,4439.473,465.493,365.652,401.797,487.618,526.840,551.457,592.413,627.542,667.568,741.936,885.367,1111.893,1390.082,1606.567,1641.666,1408.805,906.723,409.806,160.211
55,Medium variant,Least developed countries,c,941,2030-2035,4052.423,418.126,333.737,378.902,470.898,521.396,553.226,602.048,645.748,710.470,821.818,979.927,1234.346,1588.195,1863.396,1904.731,1648.095,1083.781,500.503,209.506
56,Medium variant,Least developed countries,c,941,2035-2040,3702.026,375.445,304.991,358.020,452.228,508.223,549.480,610.292,669.466,746.394,888.756,1097.522,1378.325,1782.431,2151.531,2234.849,1948.538,1293.809,614.533,270.440
57,Medium variant,Least developed countries,c,941,2040-2045,3381.139,337.418,280.620,340.589,437.331,495.834,542.338,617.469,696.767,793.210,949.597,1199.609,1557.029,2004.535,2434.620,2605.222,2328.086,1565.601,743.934,344.521
58,Medium variant,Least developed countries,c,941,2045-2050,3090.159,303.445,258.168,323.988,422.550,482.760,531.168,615.270,716.775,839.953,1020.679,1288.365,1713.366,2284.563,2770.176,2994.167,2773.659,1941.208,929.652,426.257
59,Medium variant,Least developed countries,c,941,2050-2055,2832.426,274.549,237.942,307.464,407.422,469.689,520.552,610.771,727.399,878.419,1091.452,1389.138,1847.840,2532.128,3187.294,3458.608,3254.612,2389.888,1216.576,544.101
60,Medium variant,Least developed countries,c,941,2055-2060,2611.131,250.978,220.525,291.644,392.354,457.670,511.607,607.432,734.565,904.437,1151.453,1489.412,2000.737,2750.058,3569.701,4042.451,3838.941,2885.346,1570.051,761.435
61,Medium variant,Least developed countries,c,941,2060-2065,2425.320,232.179,205.950,277.145,377.531,445.168,502.208,602.783,739.690,923.497,1193.219,1573.915,2153.424,2999.334,3921.710,4605.231,4592.295,3503.812,1962.743,1068.721
62,Medium variant,Least developed countries,c,941,2065-2070,2254.497,215.700,193.107,263.927,362.778,431.606,491.155,596.172,741.421,938.655,1225.256,1632.253,2282.176,3248.668,4323.981,5147.058,5344.641,4319.466,2460.112,1427.401
63,Medium variant,Least developed countries,c,941,2070-2075,2104.025,203.059,182.054,252.312,349.720,418.973,479.895,588.123,741.149,950.148,1252.945,1678.611,2374.689,3463.999,4729.454,5770.226,6098.229,5155.126,3139.642,1856.500
64,Medium variant,Least developed countries,c,941,2075-2080,1967.704,189.561,172.154,241.281,336.837,405.595,466.607,576.526,735.680,955.657,1272.739,1717.059,2448.884,3626.361,5095.084,6418.666,6982.200,6032.434,3857.489,2451.591
65,Medium variant,Least developed countries,c,941,2080-2085,1839.204,177.727,162.673,230.630,323.997,391.740,452.087,561.891,724.601,953.255,1283.654,1743.178,2509.415,3759.342,5384.139,7020.915,7916.011,7071.657,4628.610,3133.093
66,Medium variant,Least developed countries,c,941,2085-2090,1721.804,166.915,153.541,219.939,311.074,377.787,436.544,544.960,709.043,943.096,1283.358,1756.794,2552.490,3874.221,5633.713,7530.390,8815.277,8198.258,5558.108,3864.620
67,Medium variant,Least developed countries,c,941,2090-2095,1611.311,156.667,144.577,208.939,297.302,362.336,419.521,525.643,688.965,925.074,1270.908,1753.753,2575.699,3961.745,5858.753,7992.678,9622.836,9320.554,6595.995,4719.336
68,Medium variant,Least developed countries,c,941,2095-2100,1508.376,146.812,136.120,198.370,283.770,347.167,402.697,505.888,667.211,902.526,1249.399,1736.120,2576.771,4021.419,6046.715,8428.329,10394.303,10384.942,7660.315,5697.666
69,Medium variant,"Less developed regions, excluding least developed countries",d,934,2015-2020,8470.744,828.471,753.253,928.166,1201.770,1326.749,1452.483,1620.967,1931.524,2504.434,3301.431,4433.402,6222.302,8080.153,9238.777,10297.700,10205.946,7634.272,3956.179,1592.093
70,Medium variant,"Less developed regions, excluding least developed countries",d,934,2020-2025,7324.643,743.664,681.547,849.347,1094.979,1197.151,1367.500,1624.612,1932.579,2492.840,3425.690,4814.800,6699.710,9170.700,11146.903,11491.289,11064.975,8829.771,4918.526,2134.572
71,Medium variant,"Less developed regions, excluding least developed countries",d,934,2025-2030,6348.915,657.880,608.123,775.949,1013.038,1100.864,1240.446,1546.340,1962.100,2511.300,3414.913,5006.476,7313.999,9925.065,12770.957,14167.517,12706.763,9869.093,5895.900,2805.485
72,Medium variant,"Less developed regions, excluding least developed countries",d,934,2030-2035,5555.082,581.224,537.778,699.612,934.743,1029.960,1145.406,1407.913,1887.208,2580.020,3456.360,4981.829,7615.220,10910.868,13928.916,16421.010,16059.846,11727.755,6808.973,3543.435
73,Medium variant,"Less developed regions, excluding least developed countries",d,934,2035-2040,4881.717,513.839,475.250,625.823,852.673,964.116,1080.279,1307.300,1731.712,2509.824,3582.918,5040.513,7563.845,11418.971,15505.666,18218.874,19026.109,15383.837,8439.889,4327.810
74,Medium variant,"Less developed regions, excluding least developed countries",d,934,2040-2045,4309.582,455.974,423.161,564.348,778.210,900.828,1035.561,1259.536,1637.442,2333.129,3517.934,5245.138,7624.810,11290.738,16261.599,20502.372,21470.054,18612.574,11484.632,5549.392
75,Medium variant,"Less developed regions, excluding least developed countries",d,934,2045-2050,3787.884,402.629,376.073,508.810,707.320,828.411,973.747,1214.419,1584.586,2210.997,3269.914,5150.687,7951.463,11403.786,16143.696,21798.819,24740.387,21681.378,14364.657,7781.970
76,Medium variant,"Less developed regions, excluding least developed countries",d,934,2050-2055,3310.318,352.515,333.175,458.463,642.170,757.870,900.062,1150.870,1540.147,2147.806,3099.306,4769.733,7810.690,11966.321,16401.137,21832.094,26780.788,25680.710,17318.115,10377.507
77,Medium variant,"Less developed regions, excluding least developed countries",d,934,2055-2060,2905.817,309.917,296.813,415.965,588.155,699.033,832.729,1075.168,1473.636,2099.321,3016.885,4509.736,7211.298,11798.029,17372.536,22388.797,27134.981,28370.831,21116.963,13230.286
78,Medium variant,"Less developed regions, excluding least developed countries",d,934,2060-2065,2573.537,273.376,264.902,378.413,540.152,647.408,773.706,1001.216,1385.113,2016.718,2954.190,4384.983,6814.990,10909.179,17253.298,24058.011,28223.210,29244.940,23922.150,16836.969
79,Medium variant,"Less developed regions, excluding least developed countries",d,934,2065-2070,2290.230,241.078,235.670,343.201,495.827,600.162,720.997,935.455,1296.405,1901.397,2841.120,4285.267,6625.860,10339.937,15998.471,24128.201,30858.107,31000.545,25210.339,20198.796
80,Medium variant,"Less developed regions, excluding least developed countries",d,934,2070-2075,2064.895,215.896,211.731,311.700,454.131,555.927,673.096,877.794,1219.185,1787.228,2685.540,4118.649,6480.782,10108.875,15249.129,22503.657,31349.062,34625.949,27322.445,22606.870
81,Medium variant,"Less developed regions, excluding least developed countries",d,934,2075-2080,1864.401,193.632,190.501,282.398,413.746,511.400,625.287,822.764,1148.510,1683.562,2523.663,3882.428,6221.675,9932.585,15029.175,21628.680,29496.231,35719.219,31267.056,25335.575
82,Medium variant,"Less developed regions, excluding least developed countries",d,934,2080-2085,1684.991,175.405,174.035,260.732,383.065,475.242,583.675,772.861,1085.297,1591.376,2375.781,3631.698,5847.180,9558.422,14873.118,21529.794,28635.169,33999.989,32882.856,29666.672
83,Medium variant,"Less developed regions, excluding least developed countries",d,934,2085-2090,1533.023,160.070,159.749,241.429,355.986,442.785,544.078,723.730,1022.251,1504.165,2243.016,3406.251,5464.266,9024.615,14447.152,21604.022,28946.013,33494.803,31818.755,33108.827
84,Medium variant,"Less developed regions, excluding least developed countries",d,934,2090-2095,1401.251,146.592,147.023,224.118,331.690,413.099,506.354,674.189,957.055,1415.446,2117.159,3204.970,5123.303,8477.725,13753.643,21259.410,29527.781,34444.856,31836.454,34086.390
85,Medium variant,"Less developed regions, excluding least developed countries",d,934,2095-2100,1287.124,134.160,134.963,207.123,307.852,384.721,470.818,625.499,888.724,1319.769,1984.553,3006.912,4806.125,7974.864,13005.399,20439.957,29479.929,35758.187,33313.870,35062.339
86,Medium variant,"Less developed regions, excluding China",,948,2015-2020,13315.892,1350.476,1141.508,1312.394,1615.354,1708.535,1812.155,1975.116,2161.808,2516.412,3112.055,4032.684,5271.798,6448.987,7321.118,7875.283,7320.520,5252.500,2695.767,1090.116
87,Medium variant,"Less developed regions, excluding China",,948,2020-2025,11833.826,1220.667,1038.423,1222.713,1521.674,1619.523,1742.180,1978.761,2251.598,2649.432,3293.549,4338.843,5841.634,7437.738,8480.322,8722.504,8145.969,6149.873,3357.458,1508.635
88,Medium variant,"Less developed regions, excluding China",,948,2025-2030,10525.058,1094.515,936.711,1130.570,1436.820,1544.454,1666.983,1923.469,2285.376,2790.033,3491.486,4613.735,6325.069,8325.453,9923.440,10309.568,9239.421,7011.527,4050.777,1992.289
89,Medium variant,"Less developed regions, excluding China",,948,2030-2035,9379.908,975.478,840.600,1035.556,1344.229,1474.397,1598.684,1854.264,2248.293,2868.602,3707.104,4905.753,6749.749,9084.015,11231.164,12258.801,11170.481,8174.398,4741.994,2521.468
90,Medium variant,"Less developed regions, excluding China",,948,2035-2040,8379.370,868.856,754.382,946.755,1248.106,1397.844,1536.886,1792.230,2193.537,2859.065,3852.640,5238.542,7214.374,9781.203,12399.293,14098.382,13578.885,10186.533,5713.649,3092.875
91,Medium variant,"Less developed regions, excluding China",,948,2040-2045,7505.200,775.482,681.704,873.696,1166.824,1327.725,1487.473,1759.854,2166.672,2836.636,3885.006,5477.260,7720.520,10482.954,13405.807,15671.731,15816.449,12647.740,7333.536,3860.565
92,Medium variant,"Less developed regions, excluding China",,948,2045-2050,6711.267,689.765,614.407,805.583,1088.112,1251.232,1420.824,1715.516,2144.388,2816.378,3865.925,5530.563,8099.580,11307.669,14532.719,17203.611,17936.046,15132.056,9414.255,5113.216
93,Medium variant,"Less developed regions, excluding China",,948,2050-2055,5994.937,612.154,553.076,741.301,1012.869,1176.118,1347.485,1654.572,2113.439,2805.648,3847.423,5500.793,8192.886,11943.704,15843.715,18909.190,20042.453,17555.775,11588.439,6848.671
94,Medium variant,"Less developed regions, excluding China",,948,2055-2060,5386.716,547.666,501.098,685.071,947.224,1111.413,1281.298,1589.204,2063.521,2787.323,3846.945,5472.177,8157.784,12154.967,16900.187,20897.691,22403.950,20036.189,13789.397,8879.824
95,Medium variant,"Less developed regions, excluding China",,948,2060-2065,4882.817,493.850,456.420,634.860,887.040,1051.515,1220.341,1523.578,1998.328,2736.809,3832.768,5468.577,8129.052,12186.716,17373.857,22606.254,25205.219,22862.840,16094.960,11100.983
96,Medium variant,"Less developed regions, excluding China",,948,2065-2070,4439.261,446.436,416.177,588.635,830.361,993.798,1161.612,1460.448,1928.655,2661.909,3770.872,5440.121,8130.297,12215.610,17566.950,23514.957,27688.688,26221.321,18741.310,13491.295
97,Medium variant,"Less developed regions, excluding China",,948,2070-2075,4071.094,409.660,382.632,547.371,778.224,939.725,1105.830,1400.685,1863.090,2582.776,3679.512,5350.618,8100.322,12297.813,17764.886,24045.239,29227.158,29311.990,21925.089,16208.618
98,Medium variant,"Less developed regions, excluding China",,948,2075-2080,3741.911,374.702,352.650,509.067,727.868,885.158,1048.335,1338.512,1795.029,2501.774,3572.934,5211.620,7968.603,12321.936,18059.170,24613.077,30337.745,31486.509,24977.598,19465.219
99,Medium variant,"Less developed regions, excluding China",,948,2080-2085,3441.712,345.415,327.604,478.047,686.570,838.572,996.504,1278.869,1727.033,2418.842,3461.258,5042.276,7749.999,12165.478,18240.755,25308.185,31467.144,33190.418,27299.352,22941.045
100,Medium variant,"Less developed regions, excluding China",,948,2085-2090,3179.473,319.981,305.057,449.283,648.581,795.166,945.472,1217.974,1654.655,2330.006,3345.092,4869.759,7498.490,11899.613,18188.641,25927.570,32871.884,34979.898,29266.491,26067.814
101,Medium variant,"Less developed regions, excluding China",,948,2090-2095,2943.781,296.994,284.168,421.864,612.101,752.534,894.633,1154.787,1576.806,2232.430,3220.214,4693.114,7245.364,11586.151,17965.231,26217.405,34247.040,37169.245,31314.585,28928.246
102,Medium variant,"Less developed regions, excluding China",,948,2095-2100,2732.267,275.303,264.442,395.407,576.259,710.999,845.286,1091.248,1494.511,2124.858,3079.623,4498.714,6973.890,11247.663,17635.776,26196.136,35158.181,39376.604,33776.022,31704.399
103,Medium variant,High-income countries,e,1503,2015-2020,148.871,12.589,17.038,31.536,51.131,68.326,91.678,133.271,208.097,335.297,520.233,753.380,1038.212,1429.582,1929.282,2723.141,3994.123,5070.320,4556.228,2639.779
104,Medium variant,High-income countries,e,1503,2020-2025,131.073,11.168,15.464,28.666,45.750,63.092,86.844,126.095,193.870,309.370,478.886,706.933,1014.424,1428.490,2046.252,2888.240,4060.577,5219.506,4896.824,3318.152
105,Medium variant,High-income countries,e,1503,2025-2030,114.717,10.068,14.004,26.463,42.570,57.045,79.867,118.388,182.753,288.462,442.273,650.693,952.020,1399.533,2054.006,3089.464,4386.568,5478.600,5258.777,3844.980
106,Medium variant,High-income countries,e,1503,2030-2035,101.045,8.917,12.729,24.307,39.817,53.361,72.070,108.297,170.970,271.833,412.683,601.297,876.709,1316.229,2023.464,3123.720,4762.505,6125.430,5735.937,4386.422
107,Medium variant,High-income countries,e,1503,2035-2040,90.230,7.890,11.360,22.495,37.033,50.086,67.207,96.972,155.579,254.046,388.864,561.174,811.055,1214.270,1913.989,3108.242,4884.535,6838.170,6710.726,5050.180
108,Medium variant,High-income countries,e,1503,2040-2045,81.545,7.028,10.214,20.570,34.808,46.752,62.833,89.881,138.814,230.736,362.724,527.139,756.031,1124.054,1771.339,2966.734,4934.821,7185.760,7716.424,6178.384
109,Medium variant,High-income countries,e,1503,2045-2050,74.572,6.337,9.089,18.621,32.328,44.277,58.465,83.698,128.369,205.798,328.670,490.064,709.112,1049.613,1645.812,2768.583,4790.185,7477.384,8362.973,7487.476
110,Medium variant,High-income countries,e,1503,2050-2055,68.023,5.757,8.256,16.883,29.601,41.155,55.083,77.440,119.031,189.786,292.474,441.433,656.270,983.668,1538.567,2582.736,4524.045,7474.683,8997.182,8570.120
111,Medium variant,High-income countries,e,1503,2055-2060,61.807,5.254,7.570,15.462,27.142,37.896,51.078,72.448,109.664,175.849,269.734,391.567,589.287,911.468,1446.214,2425.359,4260.964,7255.787,9321.537,9713.529
112,Medium variant,High-income countries,e,1503,2060-2065,55.986,4.795,6.840,14.076,24.847,34.762,46.889,66.692,101.911,161.294,249.212,360.020,520.477,818.049,1342.413,2288.883,4029.956,6985.052,9368.780,10708.749
113,Medium variant,High-income countries,e,1503,2065-2070,50.590,4.306,6.236,12.889,22.867,31.878,42.670,60.554,93.266,149.374,227.799,331.527,476.855,720.607,1206.881,2132.298,3836.032,6741.971,9306.158,11498.144
114,Medium variant,High-income countries,e,1503,2070-2075,46.082,3.855,5.576,11.777,21.010,29.248,38.897,54.740,84.285,136.208,210.273,302.479,438.946,659.917,1065.007,1929.119,3612.369,6577.099,9249.637,12172.530
115,Medium variant,High-income countries,e,1503,2075-2080,41.983,3.503,5.067,10.703,19.261,26.909,35.608,49.661,75.741,122.476,190.849,277.648,399.385,607.624,976.076,1710.683,3309.308,6343.465,9297.920,12709.316
116,Medium variant,High-income countries,e,1503,2080-2085,38.224,3.159,4.541,9.561,17.366,24.531,32.434,44.973,68.113,109.634,170.889,250.414,365.098,552.924,900.909,1573.922,2977.249,5977.706,9255.590,13355.843
